transaction_id,order_date,product_category,region,units_sold,price_per_unit,revenue
HM_100059,2025-08-07 08:16:59.966763,Bottoms,Middle East,2,40,80
HM_100060,2025-01-07 08:16:59.966763,Bottoms,North America,3,40,120
HM_100061,2024-09-12 08:16:59.966763,Bottoms,North America,3,40,120
HM_100062,2024-04-10 08:16:59.966763,Footwear,Middle East,2,70,140
HM_100063,2025-01-26 08:16:59.966763,Bottoms,Europe,3,40,120
HM_100064,2025-06-06 08:16:59.966763,Bottoms,Asia,1,40,40
HM_100065,2024-08-29 08:16:59.966763,Dresses,Europe,1,60,60
HM_100066,2024-01-19 08:16:59.966763,Tops,South America,2,25,50
HM_100067,2024-02-18 08:16:59.966763,Footwear,North America,2,70,140
HM_100068,2024-10-02 08:16:59.966763,Tops,South America,4,25,100
HM_100069,2024-04-30 08:16:59.966763,Outerwear,North America,2,90,180
HM_100070,2025-03-29 08:16:59.966763,Footwear,South America,2,70,140
HM_100071,2024-02-19 08:16:59.966763,Tops,Middle East,4,25,100
HM_100072,2024-08-19 08:16:59.966763,Tops,North America,1,25,25
HM_100073,2025-03-30 08:16:59.966763,Footwear,North America,4,70,280
HM_100074,2024-05-14 08:16:59.966763,Footwear,South America,3,70,210
HM_100075,2025-09-02 08:16:59.966763,Footwear,Asia,1,70,70
HM_100076,2026-03-24 08:16:59.966763,Footwear,South America,1,70,70
HM_100077,2025-08-27 08:16:59.966763,Tops,North America,2,25,50
HM_100078,2024-04-15 08:16:59.966763,Bottoms,North America,3,40,120
HM_100079,2025-09-12 08:16:59.966763,Tops,Asia,2,25,50
HM_100080,2026-03-18 08:16:59.966763,Outerwear,Europe,4,90,360
HM_100081,2025-02-20 08:16:59.966763,Accessories,Asia,4,15,60
HM_100082,2025-03-31 08:16:59.966763,Bottoms,Europe,4,40,160
HM_100083,2026-02-13 08:16:59.966763,Tops,North America,4,25,100
HM_100084,2024-11-15 08:16:59.966763,Bottoms,Middle East,2,40,80
HM_100085,2024-12-06 08:16:59.966763,Bottoms,Middle East,4,40,160
HM_100086,2024-08-31 08:16:59.966763,Footwear,South America,6,70,420
HM_100087,2025-06-17 08:16:59.966763,Accessories,Asia,4,15,60
HM_100088,2023-12-09 08:16:59.966763,Outerwear,Asia,2,90,180
HM_100089,2024-12-09 08:16:59.966763,Dresses,Middle East,2,60,120
HM_100090,2024-12-27 08:16:59.966763,Tops,Europe,3,25,75
HM_100091,2025-02-25 08:16:59.966763,Footwear,Asia,4,70,280
HM_100092,2026-04-11 08:16:59.966763,Footwear,Europe,3,70,210
HM_100093,2024-09-27 08:16:59.966763,Accessories,Europe,1,15,15
HM_100094,2024-12-30 08:16:59.966763,Footwear,Europe,4,70,280
HM_100095,2023-12-04 08:16:59.966763,Dresses,Europe,4,60,240
HM_100096,2024-05-30 08:16:59.966763,Dresses,South America,1,60,60
HM_100097,2025-09-20 08:16:59.966763,Dresses,South America,4,60,240
HM_100098,2023-11-22 08:16:59.966763,Tops,Middle East,3,25,75
HM_100099,2025-12-10 08:16:59.966763,Tops,South America,3,25,75
HM_100100,2024-09-23 08:16:59.966763,Tops,Asia,3,25,75
HM_100101,2024-07-24 08:16:59.966763,Accessories,South America,3,15,45
HM_100102,2024-01-06 08:16:59.966763,Bottoms,Asia,2,40,80
HM_100103,2025-08-05 08:16:59.966763,Dresses,Asia,3,60,180
HM_100104,2025-01-01 08:16:59.966763,Outerwear,Europe,3,90,270
HM_100105,2024-10-03 08:16:59.966763,Bottoms,Middle East,3,40,120
HM_100106,2024-09-18 08:16:59.966763,Dresses,Europe,2,60,120
HM_100107,2025-04-04 08:16:59.966763,Footwear,Europe,3,70,210
HM_100108,2024-06-02 08:16:59.966763,Bottoms,South America,2,40,80
HM_100109,2025-01-31 08:16:59.966763,Tops,South America,1,25,25
HM_100110,2025-11-22 08:16:59.966763,Bottoms,Asia,3,40,120
HM_100111,2024-12-13 08:16:59.966763,Tops,South America,4,25,100
HM_100112,2025-10-20 08:16:59.966763,Outerwear,South America,3,90,270
HM_100113,2023-12-20 08:16:59.966763,Footwear,North America,2,70,140
HM_100114,2025-01-22 08:16:59.966763,Accessories,Asia,3,15,45
HM_100115,2025-07-17 08:16:59.966763,Outerwear,Asia,2,90,180
HM_100116,2026-01-05 08:16:59.966763,Footwear,North America,4,70,280
HM_100117,2024-12-20 08:16:59.966763,Tops,Asia,4,25,100
HM_100118,2026-02-17 08:16:59.966763,Outerwear,Middle East,2,90,180
HM_100119,2024-05-04 08:16:59.966763,Dresses,Middle East,3,60,180
HM_100120,2025-08-28 08:16:59.966763,Footwear,North America,1,70,70
HM_100121,2025-05-26 08:16:59.966763,Outerwear,South America,3,90,270
HM_100122,2024-09-23 08:16:59.966763,Bottoms,Middle East,2,40,80
HM_100123,2025-11-12 08:16:59.966763,Tops,North America,1,25,25
HM_100124,2024-07-29 08:16:59.966763,Bottoms,Middle East,3,40,120
HM_100125,2024-10-22 08:16:59.966763,Dresses,Europe,2,60,120
HM_100126,2025-03-16 08:16:59.966763,Footwear,North America,1,70,70
HM_100127,2025-12-13 08:16:59.966763,Outerwear,Asia,4,90,360
HM_100128,2024-12-01 08:16:59.966763,Tops,Middle East,2,25,50
HM_100129,2025-05-01 08:16:59.966763,Dresses,Asia,1,60,60
HM_100130,2025-07-19 08:16:59.966763,Dresses,North America,4,60,240
HM_100131,2025-11-10 08:16:59.966763,Bottoms,Middle East,3,40,120
HM_100132,2025-01-13 08:16:59.966763,Tops,Asia,1,25,25
HM_100133,2025-01-15 08:16:59.966763,Bottoms,South America,3,40,120
HM_100134,2026-01-07 08:16:59.966763,Outerwear,South America,1,90,90
HM_100135,2024-03-11 08:16:59.966763,Bottoms,Europe,1,40,40
HM_100136,2024-09-10 08:16:59.966763,Dresses,North America,1,60,60
HM_100137,2026-03-19 08:16:59.966763,Footwear,Asia,4,70,280
HM_100138,2023-11-29 08:16:59.966763,Bottoms,Europe,1,40,40
HM_100139,2026-03-14 08:16:59.966763,Outerwear,North America,1,90,90
HM_100140,2024-06-10 08:16:59.966763,Outerwear,South America,2,90,180
HM_100141,2025-02-21 08:16:59.966763,Bottoms,Asia,6,40,240
HM_100142,2026-01-31 08:16:59.966763,Dresses,Middle East,3,60,180
HM_100143,2024-08-15 08:16:59.966763,Bottoms,South America,4,40,160
HM_100144,2024-12-28 08:16:59.966763,Bottoms,Middle East,1,40,40
HM_100145,2025-07-09 08:16:59.966763,Tops,Middle East,3,25,75
HM_100146,2024-06-07 08:16:59.966763,Accessories,Asia,3,15,45
HM_100147,2025-12-01 08:16:59.966763,Dresses,Asia,1,60,60
HM_100148,2024-08-30 08:16:59.966763,Tops,Middle East,2,25,50
HM_100149,2025-10-01 08:16:59.966763,Bottoms,Europe,2,40,80
HM_100150,2025-01-04 08:16:59.966763,Outerwear,Middle East,3,90,270
HM_100151,2024-09-22 08:16:59.966763,Bottoms,Middle East,2,40,80
HM_100152,2026-02-05 08:16:59.966763,Tops,Asia,2,25,50
HM_100153,2025-04-18 08:16:59.966763,Dresses,North America,2,60,120
HM_100154,2025-08-15 08:16:59.966763,Outerwear,South America,4,90,360
HM_100155,2025-07-24 08:16:59.966763,Bottoms,Asia,1,40,40
HM_100156,2025-07-25 08:16:59.966763,Accessories,Europe,2,15,30
HM_100157,2024-04-15 08:16:59.966763,Footwear,South America,3,70,210
HM_100158,2025-08-14 08:16:59.966763,Bottoms,Asia,2,40,80
HM_100159,2024-09-30 08:16:59.966763,Footwear,Asia,4,70,280
HM_100160,2024-10-09 08:16:59.966763,Bottoms,North America,4,40,160
HM_100161,2024-04-28 08:16:59.966763,Accessories,Europe,4,15,60
HM_100162,2026-01-27 08:16:59.966763,Accessories,Europe,3,15,45
HM_100163,2025-04-19 08:16:59.966763,Dresses,Asia,4,60,240
HM_100164,2024-03-29 08:16:59.966763,Tops,North America,3,25,75
HM_100165,2024-02-07 08:16:59.966763,Footwear,Asia,2,70,140
HM_100166,2025-12-12 08:16:59.966763,Bottoms,Middle East,2,40,80
HM_100167,2024-05-06 08:16:59.966763,Tops,Middle East,1,25,25
HM_100168,2024-12-30 08:16:59.966763,Tops,North America,2,25,50
HM_100169,2024-07-08 08:16:59.966763,Accessories,Asia,2,15,30
HM_100170,2024-12-21 08:16:59.966763,Accessories,North America,2,15,30
HM_100171,2026-02-05 08:16:59.966763,Tops,Asia,6,25,150
HM_100172,2024-12-17 08:16:59.966763,Dresses,Asia,1,60,60
HM_100173,2026-01-21 08:16:59.966763,Bottoms,Middle East,2,40,80
HM_100174,2025-12-27 08:16:59.966763,Accessories,South America,6,15,90
HM_100175,2025-08-05 08:16:59.966763,Tops,Europe,1,25,25
HM_100176,2026-02-24 08:16:59.966763,Accessories,Europe,1,15,15
HM_100177,2024-09-25 08:16:59.966763,Bottoms,North America,2,40,80
HM_100178,2025-12-29 08:16:59.966763,Outerwear,Europe,1,90,90
HM_100179,2026-03-21 08:16:59.966763,Tops,Middle East,4,25,100
HM_100180,2025-01-27 08:16:59.966763,Bottoms,South America,3,40,120
HM_100181,2024-02-10 08:16:59.966763,Tops,Asia,1,25,25
HM_100182,2025-11-17 08:16:59.966763,Outerwear,Asia,3,90,270
HM_100183,2024-01-13 08:16:59.966763,Outerwear,Middle East,3,90,270
HM_100184,2025-05-02 08:16:59.966763,Bottoms,Europe,1,40,40
HM_100185,2026-04-23 08:16:59.966763,Accessories,Asia,3,15,45
HM_100186,2025-12-13 08:16:59.966763,Footwear,Europe,3,70,210
HM_100187,2026-02-13 08:16:59.966763,Accessories,Middle East,1,15,15
HM_100188,2024-12-15 08:16:59.966763,Dresses,Asia,1,60,60
HM_100189,2024-08-11 08:16:59.966763,Bottoms,North America,2,40,80
HM_100190,2024-01-16 08:16:59.966763,Tops,South America,2,25,50
HM_100191,2025-03-01 08:16:59.966763,Outerwear,Europe,3,90,270
HM_100192,2024-03-16 08:16:59.966763,Outerwear,Europe,2,90,180
HM_100193,2025-03-12 08:16:59.966763,Accessories,Europe,2,15,30
HM_100194,2025-03-20 08:16:59.966763,Bottoms,Europe,1,40,40
HM_100195,2025-03-14 08:16:59.966763,Bottoms,Middle East,4,40,160
HM_100196,2025-12-18 08:16:59.966763,Footwear,Middle East,1,70,70
HM_100197,2024-11-17 08:16:59.966763,Outerwear,Middle East,1,90,90
HM_100198,2025-09-09 08:16:59.966763,Outerwear,Middle East,3,90,270
HM_100199,2024-02-11 08:16:59.966763,Footwear,Asia,4,70,280
HM_100200,2025-01-02 08:16:59.966763,Accessories,Middle East,3,15,45
HM_100201,2025-09-14 08:16:59.966763,Tops,Asia,2,25,50
HM_100202,2024-11-10 08:16:59.966763,Tops,North America,2,25,50
HM_100203,2024-02-06 08:16:59.966763,Outerwear,Middle East,1,90,90
HM_100204,2024-12-30 08:16:59.966763,Accessories,North America,5,15,75
HM_100205,2025-12-07 08:16:59.966763,Tops,Middle East,5,25,125
HM_100206,2025-08-10 08:16:59.966763,Tops,North America,3,25,75
HM_100207,2025-12-09 08:16:59.966763,Accessories,South America,2,15,30
HM_100208,2024-07-23 08:16:59.966763,Tops,North America,1,25,25
HM_100209,2024-10-25 08:16:59.966763,Tops,Asia,2,25,50
HM_100210,2024-08-02 08:16:59.966763,Dresses,Europe,4,60,240
HM_100211,2024-04-19 08:16:59.966763,Accessories,North America,4,15,60
HM_100212,2024-07-29 08:16:59.966763,Accessories,Europe,2,15,30
HM_100213,2025-03-28 08:16:59.966763,Bottoms,South America,4,40,160
HM_100214,2026-04-09 08:16:59.966763,Footwear,South America,4,70,280
HM_100215,2024-05-06 08:16:59.966763,Bottoms,Asia,3,40,120
HM_100216,2025-09-13 08:16:59.966763,Bottoms,Asia,4,40,160
HM_100217,2024-06-22 08:16:59.966763,Footwear,North America,5,70,350
HM_100218,2025-12-02 08:16:59.966763,Accessories,Middle East,5,15,75
HM_100219,2025-01-03 08:16:59.966763,Footwear,South America,2,70,140
HM_100220,2026-02-28 08:16:59.966763,Accessories,Europe,3,15,45
HM_100221,2024-04-04 08:16:59.966763,Accessories,Middle East,4,15,60
HM_100222,2025-08-10 08:16:59.966763,Tops,South America,2,25,50
HM_100223,2024-01-05 08:16:59.966763,Bottoms,North America,4,40,160
HM_100224,2024-11-23 08:16:59.966763,Bottoms,South America,3,40,120
HM_100225,2025-12-19 08:16:59.966763,Bottoms,Asia,2,40,80
HM_100226,2024-12-05 08:16:59.966763,Outerwear,Europe,1,90,90
HM_100227,2024-03-24 08:16:59.966763,Bottoms,Europe,1,40,40
HM_100228,2025-07-09 08:16:59.966763,Outerwear,Asia,2,90,180
HM_100229,2024-07-01 08:16:59.966763,Accessories,Middle East,1,15,15
HM_100230,2024-08-04 08:16:59.966763,Footwear,Asia,4,70,280
HM_100231,2026-02-06 08:16:59.966763,Dresses,Europe,4,60,240
HM_100232,2024-03-26 08:16:59.966763,Accessories,North America,4,15,60
HM_100233,2023-12-12 08:16:59.966763,Dresses,Middle East,4,60,240
HM_100234,2025-06-12 08:16:59.966763,Tops,South America,2,25,50
HM_100235,2025-11-07 08:16:59.966763,Footwear,North America,3,70,210
HM_100236,2025-12-25 08:16:59.966763,Bottoms,Middle East,2,40,80
HM_100237,2024-02-27 08:16:59.966763,Tops,Europe,4,25,100
HM_100238,2026-02-05 08:16:59.966763,Accessories,Europe,1,15,15
HM_100239,2025-12-08 08:16:59.966763,Tops,North America,4,25,100
HM_100240,2024-12-25 08:16:59.966763,Outerwear,Middle East,1,90,90
HM_100241,2024-04-27 08:16:59.966763,Outerwear,South America,2,90,180
HM_100242,2026-02-05 08:16:59.966763,Outerwear,South America,1,90,90
HM_100243,2024-01-04 08:16:59.966763,Bottoms,Asia,2,40,80
HM_100244,2024-05-16 08:16:59.966763,Tops,North America,2,25,50
HM_100245,2024-05-10 08:16:59.966763,Outerwear,Middle East,2,90,180
HM_100246,2023-12-15 08:16:59.966763,Dresses,North America,3,60,180
HM_100247,2023-12-08 08:16:59.966763,Outerwear,South America,3,90,270
HM_100248,2025-02-26 08:16:59.966763,Outerwear,Middle East,4,90,360
HM_100249,2024-12-10 08:16:59.966763,Outerwear,Europe,3,90,270
HM_100250,2024-12-06 08:16:59.966763,Bottoms,Europe,1,40,40
HM_100251,2024-11-23 08:16:59.966763,Bottoms,Middle East,6,40,240
HM_100252,2024-04-10 08:16:59.966763,Outerwear,North America,1,90,90
HM_100253,2025-08-16 08:16:59.966763,Bottoms,North America,3,40,120
HM_100254,2025-04-04 08:16:59.966763,Tops,Europe,4,25,100
HM_100255,2026-03-06 08:16:59.966763,Accessories,Europe,3,15,45
HM_100256,2025-03-19 08:16:59.966763,Outerwear,South America,2,90,180
HM_100257,2024-04-19 08:16:59.966763,Accessories,Middle East,5,15,75
HM_100258,2024-05-20 08:16:59.966763,Accessories,North America,4,15,60
HM_100259,2024-12-24 08:16:59.966763,Tops,South America,2,25,50
HM_100260,2024-01-08 08:16:59.966763,Accessories,North America,2,15,30
HM_100261,2024-01-08 08:16:59.966763,Outerwear,Europe,1,90,90
HM_100262,2024-10-14 08:16:59.966763,Tops,Middle East,1,25,25
HM_100263,2024-03-05 08:16:59.966763,Dresses,Asia,2,60,120
HM_100264,2026-01-22 08:16:59.966763,Outerwear,Middle East,1,90,90
HM_100265,2025-11-02 08:16:59.966763,Footwear,Asia,2,70,140
HM_100266,2025-11-14 08:16:59.966763,Accessories,South America,4,15,60
HM_100267,2024-07-03 08:16:59.966763,Footwear,Asia,2,70,140
HM_100268,2026-02-20 08:16:59.966763,Bottoms,Asia,2,40,80
HM_100269,2025-10-02 08:16:59.966763,Bottoms,South America,3,40,120
HM_100270,2024-04-27 08:16:59.966763,Footwear,Middle East,3,70,210
HM_100271,2025-08-09 08:16:59.966763,Footwear,South America,2,70,140
HM_100272,2025-10-19 08:16:59.966763,Outerwear,Europe,5,90,450
HM_100273,2024-01-07 08:16:59.966763,Outerwear,Europe,3,90,270
HM_100274,2026-04-28 08:16:59.966763,Dresses,Asia,1,60,60
HM_100275,2025-06-09 08:16:59.966763,Dresses,South America,2,60,120
HM_100276,2024-06-02 08:16:59.966763,Footwear,South America,4,70,280
HM_100277,2026-01-04 08:16:59.966763,Accessories,South America,4,15,60
HM_100278,2025-07-10 08:16:59.966763,Footwear,Middle East,1,70,70
HM_100279,2024-07-12 08:16:59.966763,Footwear,North America,2,70,140
HM_100280,2024-01-09 08:16:59.966763,Outerwear,North America,2,90,180
HM_100281,2025-07-30 08:16:59.966763,Bottoms,North America,4,40,160
HM_100282,2025-07-14 08:16:59.966763,Bottoms,Middle East,1,40,40
HM_100283,2026-01-23 08:16:59.966763,Tops,South America,5,25,125
HM_100284,2024-10-28 08:16:59.966763,Accessories,North America,1,15,15
HM_100285,2024-09-25 08:16:59.966763,Tops,South America,2,25,50
HM_100286,2025-01-10 08:16:59.966763,Dresses,Asia,1,60,60
HM_100287,2024-10-30 08:16:59.966763,Dresses,North America,3,60,180
HM_100288,2024-12-04 08:16:59.966763,Bottoms,Asia,1,40,40
HM_100289,2024-08-20 08:16:59.966763,Accessories,Middle East,2,15,30
HM_100290,2024-06-25 08:16:59.966763,Tops,Europe,2,25,50
HM_100291,2024-01-16 08:16:59.966763,Tops,Middle East,1,25,25
HM_100292,2025-09-08 08:16:59.966763,Footwear,Middle East,4,70,280
HM_100293,2026-02-02 08:16:59.966763,Bottoms,Middle East,5,40,200
HM_100294,2025-11-29 08:16:59.966763,Tops,North America,2,25,50
HM_100295,2026-04-28 08:16:59.966763,Dresses,Asia,3,60,180
HM_100296,2025-05-05 08:16:59.966763,Footwear,North America,2,70,140
HM_100297,2024-01-08 08:16:59.966763,Bottoms,Europe,1,40,40
HM_100298,2026-03-14 08:16:59.966763,Accessories,Middle East,1,15,15
HM_100299,2024-06-01 08:16:59.966763,Tops,South America,1,25,25
HM_100300,2025-04-17 08:16:59.966763,Tops,Europe,4,25,100
HM_100301,2025-11-23 08:16:59.966763,Dresses,Asia,3,60,180
HM_100302,2026-04-17 08:16:59.966763,Dresses,Europe,1,60,60
HM_100303,2025-06-15 08:16:59.966763,Accessories,North America,1,15,15
HM_100304,2026-02-03 08:16:59.966763,Footwear,South America,1,70,70
HM_100305,2025-03-02 08:16:59.966763,Outerwear,North America,1,90,90
HM_100306,2026-03-21 08:16:59.966763,Dresses,Middle East,3,60,180
HM_100307,2025-03-03 08:16:59.966763,Bottoms,Middle East,2,40,80
HM_100308,2024-11-22 08:16:59.966763,Footwear,Europe,5,70,350
HM_100309,2026-04-25 08:16:59.966763,Bottoms,Middle East,1,40,40
HM_100310,2025-05-26 08:16:59.966763,Dresses,Middle East,4,60,240
HM_100311,2024-04-20 08:16:59.966763,Tops,Asia,4,25,100
HM_100312,2025-11-26 08:16:59.966763,Tops,Asia,4,25,100
HM_100313,2024-01-13 08:16:59.966763,Outerwear,North America,3,90,270
HM_100314,2024-04-02 08:16:59.966763,Footwear,North America,4,70,280
HM_100315,2024-04-18 08:16:59.966763,Accessories,Asia,3,15,45
HM_100316,2024-05-27 08:16:59.966763,Dresses,Europe,1,60,60
HM_100317,2025-04-13 08:16:59.966763,Tops,Asia,2,25,50
HM_100318,2025-09-15 08:16:59.966763,Tops,North America,2,25,50
HM_100319,2024-06-15 08:16:59.966763,Bottoms,South America,4,40,160
HM_100320,2024-10-18 08:16:59.966763,Dresses,Middle East,4,60,240
HM_100321,2023-11-18 08:16:59.966763,Footwear,South America,4,70,280
HM_100322,2025-06-02 08:16:59.966763,Accessories,South America,3,15,45
HM_100323,2026-04-06 08:16:59.966763,Bottoms,Middle East,1,40,40
HM_100324,2023-12-31 08:16:59.966763,Outerwear,Asia,4,90,360
HM_100325,2024-03-07 08:16:59.966763,Footwear,Europe,4,70,280
HM_100326,2026-04-01 08:16:59.966763,Accessories,South America,3,15,45
HM_100327,2024-12-05 08:16:59.966763,Accessories,Europe,3,15,45
HM_100328,2024-06-04 08:16:59.966763,Dresses,North America,1,60,60
HM_100329,2024-07-09 08:16:59.966763,Bottoms,South America,2,40,80
HM_100330,2024-04-29 08:16:59.966763,Bottoms,North America,1,40,40
HM_100331,2025-11-07 08:16:59.966763,Footwear,Asia,2,70,140
HM_100332,2023-12-16 08:16:59.966763,Tops,South America,4,25,100
HM_100333,2024-01-10 08:16:59.966763,Tops,North America,3,25,75
HM_100334,2025-11-08 08:16:59.966763,Tops,North America,1,25,25
HM_100335,2025-08-04 08:16:59.966763,Tops,Asia,5,25,125
HM_100336,2025-04-08 08:16:59.966763,Outerwear,Europe,3,90,270
HM_100337,2025-09-04 08:16:59.966763,Footwear,Europe,1,70,70
HM_100338,2024-10-05 08:16:59.966763,Dresses,South America,2,60,120
HM_100339,2025-07-31 08:16:59.966763,Tops,Asia,2,25,50
HM_100340,2023-12-17 08:16:59.966763,Dresses,South America,3,60,180
HM_100341,2025-11-01 08:16:59.966763,Dresses,Europe,1,60,60
HM_100342,2025-12-23 08:16:59.966763,Tops,Asia,3,25,75
HM_100343,2024-02-10 08:16:59.966763,Dresses,Middle East,4,60,240
HM_100344,2025-07-17 08:16:59.966763,Bottoms,Asia,3,40,120
HM_100345,2026-03-25 08:16:59.966763,Accessories,Asia,3,15,45
HM_100346,2024-05-18 08:16:59.966763,Accessories,Middle East,3,15,45
HM_100347,2024-04-06 08:16:59.966763,Tops,North America,3,25,75
HM_100348,2024-02-17 08:16:59.966763,Bottoms,North America,4,40,160
HM_100349,2023-12-29 08:16:59.966763,Accessories,North America,2,15,30
HM_100350,2025-04-27 08:16:59.966763,Dresses,Europe,1,60,60
HM_100351,2024-01-13 08:16:59.966763,Outerwear,Asia,3,90,270
HM_100352,2025-01-25 08:16:59.966763,Accessories,Middle East,4,15,60
HM_100353,2025-07-24 08:16:59.966763,Tops,Europe,2,25,50
HM_100354,2024-03-01 08:16:59.966763,Tops,Middle East,5,25,125
HM_100355,2023-12-25 08:16:59.966763,Accessories,Europe,3,15,45
HM_100356,2025-03-26 08:16:59.966763,Tops,Europe,4,25,100
HM_100357,2026-01-25 08:16:59.966763,Accessories,Europe,1,15,15
HM_100358,2023-11-21 08:16:59.966763,Outerwear,Middle East,4,90,360
HM_100359,2026-02-14 08:16:59.966763,Accessories,South America,3,15,45
HM_100360,2026-03-15 08:16:59.966763,Bottoms,Europe,6,40,240
HM_100361,2025-02-25 08:16:59.966763,Accessories,North America,3,15,45
HM_100362,2024-09-25 08:16:59.966763,Dresses,Asia,3,60,180
HM_100363,2024-01-16 08:16:59.966763,Dresses,South America,1,60,60
HM_100364,2025-05-25 08:16:59.966763,Outerwear,South America,3,90,270
HM_100365,2024-06-30 08:16:59.966763,Bottoms,Middle East,4,40,160
HM_100366,2024-02-02 08:16:59.966763,Outerwear,South America,2,90,180
HM_100367,2025-11-27 08:16:59.966763,Outerwear,Middle East,1,90,90
HM_100368,2024-11-06 08:16:59.966763,Tops,Middle East,6,25,150
HM_100369,2025-12-12 08:16:59.966763,Tops,North America,2,25,50
HM_100370,2024-07-12 08:16:59.966763,Tops,Europe,4,25,100
HM_100371,2025-06-21 08:16:59.966763,Tops,South America,2,25,50
HM_100372,2026-03-29 08:16:59.966763,Tops,Europe,2,25,50
HM_100373,2025-11-28 08:16:59.966763,Accessories,Europe,2,15,30
HM_100374,2024-12-03 08:16:59.966763,Tops,Europe,3,25,75
HM_100375,2024-03-11 08:16:59.966763,Bottoms,Middle East,4,40,160
HM_100376,2025-05-28 08:16:59.966763,Footwear,Europe,2,70,140
