transaction_id,date,region,category,product_name,units_sold,unit_price,inventory_level,promotion,payment_method,revenue,customer_age,return_flag,supplier_delay_days,date_year,date_month,date_quarter,date_day,supplier_delay_days_year,supplier_delay_days_month,supplier_delay_days_quarter,supplier_delay_days_day,year,month
GROC-100020,2025-09-11,South,Dairy,Butter,17,290.54,64.0,0,UPI,4939.21,59,0,1970-01-01 00:00:00.000000000,2025,9,3,11,1970,1,1,1,2025,9
GROC-100021,2024-09-20,West,Vegetables,Onion,17,230.52,33.0,0,,3918.91,21,0,1970-01-01 00:00:00.000000003,2024,9,3,20,1970,1,1,1,2024,9
GROC-100022,2024-08-15,East,Beverages,Tea,11,252.55,22.0,0,Cash,2778.05,36,0,1970-01-01 00:00:00.000000002,2024,8,3,15,1970,1,1,1,2024,8
GROC-100023,2025-01-06,West,Vegetables,Spinach,6,198.93,23.0,0,Card,1193.6,20,0,1970-01-01 00:00:00.000000004,2025,1,1,6,1970,1,1,1,2025,1
GROC-100024,2025-11-25,South,Beverages,Tea,10,58.35,18.0,1,Card,583.51,26,0,1970-01-01 00:00:00.000000007,2025,11,4,25,1970,1,1,1,2025,11
GROC-100025,2024-07-09,South,Dairy,Paneer,23,236.77,36.0,1,Card,5445.65,32,0,1970-01-01 00:00:00.000000008,2024,7,3,9,1970,1,1,1,2024,7
GROC-100026,2025-08-08,East,Dairy,Cheese,21,372.44,40.0,0,Cash,7821.28,33,0,1970-01-01 00:00:00.000000004,2025,8,3,8,1970,1,1,1,2025,8
GROC-100027,2025-11-04,South,Dairy,Cheese,3,351.47,32.0,0,Card,1054.41,47,1,1970-01-01 00:00:00.000000003,2025,11,4,4,1970,1,1,1,2025,11
GROC-100028,2025-04-28,South,Snacks,Namkeen,7,286.62,34.0,1,UPI,2006.34,21,0,1970-01-01 00:00:00.000000010,2025,4,2,28,1970,1,1,1,2025,4
GROC-100029,2025-07-25,North,Dairy,Milk,22,316.16,51.0,0,Card,6955.56,66,0,1970-01-01 00:00:00.000000010,2025,7,3,25,1970,1,1,1,2025,7
GROC-100030,2026-01-01,North,Snacks,Chocolate,6,338.92,22.0,0,,2033.52,35,0,1970-01-01 00:00:00.000000000,2026,1,1,1,1970,1,1,1,2026,1
GROC-100031,2025-12-24,North,Beverages,Coffee,5,110.72,36.0,1,UPI,553.58,30,1,1970-01-01 00:00:00.000000005,2025,12,4,24,1970,1,1,1,2025,12
GROC-100032,2024-05-02,North,Beverages,Tea,10,265.87,49.0,0,Card,2658.7,22,0,1970-01-01 00:00:00.000000000,2024,5,2,2,1970,1,1,1,2024,5
GROC-100033,2025-11-10,South,Beverages,Cold Drink,18,114.1,42.0,0,Card,2053.8,19,1,1970-01-01 00:00:00.000000003,2025,11,4,10,1970,1,1,1,2025,11
GROC-100034,2026-03-07,South,Fruits,Mango,12,141.22,50.0,0,Cash,1694.64,36,0,1970-01-01 00:00:00.000000001,2026,3,1,7,1970,1,1,1,2026,3
GROC-100035,2025-03-07,North,Dairy,Curd,22,142.85,24.0,1,Cash,3142.6,49,0,1970-01-01 00:00:00.000000001,2025,3,1,7,1970,1,1,1,2025,3
GROC-100036,2025-11-23,North,Snacks,Candy,19,226.49,49.0,0,UPI,4303.31,31,1,1970-01-01 00:00:00.000000006,2025,11,4,23,1970,1,1,1,2025,11
GROC-100037,2024-09-30,North,Vegetables,Spinach,5,104.08,12.0,0,Cash,520.41,57,0,1970-01-01 00:00:00.000000009,2024,9,3,30,1970,1,1,1,2024,9
GROC-100038,2024-09-18,North,Snacks,Candy,8,315.31,40.0,0,UPI,2522.48,31,1,1970-01-01 00:00:00.000000003,2024,9,3,18,1970,1,1,1,2024,9
GROC-100039,2025-04-17,East,Snacks,Chips,23,262.08,33.0,0,Cash,6027.84,30,1,1970-01-01 00:00:00.000000006,2025,4,2,17,1970,1,1,1,2025,4
GROC-100040,2024-06-17,South,Beverages,Tea,7,228.6,33.0,0,Cash,1600.2,52,0,1970-01-01 00:00:00.000000007,2024,6,2,17,1970,1,1,1,2024,6
GROC-100041,2026-01-22,West,Vegetables,Carrot,15,171.93,25.0,0,UPI,2579.01,22,0,1970-01-01 00:00:00.000000001,2026,1,1,22,1970,1,1,1,2026,1
GROC-100042,2025-12-23,North,Beverages,Energy Drink,8,35.69,33.0,0,UPI,285.52,21,1,1970-01-01 00:00:00.000000006,2025,12,4,23,1970,1,1,1,2025,12
GROC-100043,2025-07-20,North,Vegetables,Potato,12,105.72,,0,Card,1268.65,43,0,1970-01-01 00:00:00.000000004,2025,7,3,20,1970,1,1,1,2025,7
GROC-100044,2026-01-03,West,Beverages,Tea,6,18.43,49.0,1,Card,110.59,68,0,1970-01-01 00:00:00.000000006,2026,1,1,3,1970,1,1,1,2026,1
GROC-100045,2025-10-28,South,Beverages,Energy Drink,23,159.58,41.0,1,Cash,3670.29,41,0,1970-01-01 00:00:00.000000010,2025,10,4,28,1970,1,1,1,2025,10
GROC-100046,2024-09-16,East,Vegetables,Potato,3,214.87,11.0,0,UPI,644.62,57,0,1970-01-01 00:00:00.000000003,2024,9,3,16,1970,1,1,1,2024,9
GROC-100047,2025-07-07,West,Vegetables,Spinach,24,236.29,31.0,0,UPI,5671.01,27,0,1970-01-01 00:00:00.000000006,2025,7,3,7,1970,1,1,1,2025,7
GROC-100048,2024-06-27,East,Fruits,Banana,19,139.17,65.0,1,Cash,2644.17,19,0,1970-01-01 00:00:00.000000011,2024,6,2,27,1970,1,1,1,2024,6
GROC-100049,2025-06-13,South,Fruits,Mango,6,284.93,52.0,1,UPI,1709.56,29,0,1970-01-01 00:00:00.000000008,2025,6,2,13,1970,1,1,1,2025,6
GROC-100050,2024-09-13,West,Beverages,Juice,7,56.14,38.0,0,Cash,392.98,69,0,1970-01-01 00:00:00.000000009,2024,9,3,13,1970,1,1,1,2024,9
GROC-100051,2024-11-23,North,Dairy,Cheese,15,105.87,18.0,1,Cash,1588.12,51,0,1970-01-01 00:00:00.000000005,2024,11,4,23,1970,1,1,1,2024,11
GROC-100052,2025-10-23,South,Beverages,Energy Drink,4,334.74,20.0,0,UPI,1338.96,62,0,1970-01-01 00:00:00.000000005,2025,10,4,23,1970,1,1,1,2025,10
GROC-100053,2025-03-21,North,Dairy,Butter,4,14.98,4.0,0,Cash,59.92,21,1,1970-01-01 00:00:00.000000001,2025,3,1,21,1970,1,1,1,2025,3
GROC-100054,2024-10-08,North,Vegetables,Onion,17,165.72,42.0,1,Card,2817.32,38,0,1970-01-01 00:00:00.000000009,2024,10,4,8,1970,1,1,1,2024,10
GROC-100055,2024-05-03,South,Dairy,Butter,24,265.87,68.0,1,Card,6380.85,56,1,1970-01-01 00:00:00.000000000,2024,5,2,3,1970,1,1,1,2024,5
GROC-100056,2025-03-14,South,Dairy,Paneer,3,384.3,39.0,1,Card,1152.9,51,0,1970-01-01 00:00:00.000000001,2025,3,1,14,1970,1,1,1,2025,3
GROC-100057,2026-02-20,West,Dairy,Butter,15,445.44,58.0,0,Cash,6681.57,43,0,1970-01-01 00:00:00.000000008,2026,2,1,20,1970,1,1,1,2026,2
GROC-100058,2024-12-26,East,Dairy,Butter,1,392.03,24.0,1,Card,392.03,20,0,1970-01-01 00:00:00.000000011,2024,12,4,26,1970,1,1,1,2024,12
GROC-100059,2024-09-05,South,Fruits,Banana,24,33.86,24.0,1,Cash,812.6,30,0,1970-01-01 00:00:00.000000010,2024,9,3,5,1970,1,1,1,2024,9
GROC-100060,2025-04-24,East,Fruits,Mango,17,162.7,21.0,0,Card,2765.9,19,1,1970-01-01 00:00:00.000000010,2025,4,2,24,1970,1,1,1,2025,4
GROC-100061,2024-07-18,East,Snacks,Chocolate,12,93.32,53.0,1,UPI,1119.8,63,1,1970-01-01 00:00:00.000000011,2024,7,3,18,1970,1,1,1,2024,7
GROC-100062,2025-08-06,West,Vegetables,Carrot,9,142.2,31.0,0,Card,1279.84,50,0,1970-01-01 00:00:00.000000011,2025,8,3,6,1970,1,1,1,2025,8
GROC-100063,2025-12-31,East,Fruits,Papaya,9,193.74,37.0,1,Card,1743.65,29,0,1970-01-01 00:00:00.000000010,2025,12,4,31,1970,1,1,1,2025,12
GROC-100064,2026-03-15,North,Vegetables,Tomato,18,185.89,18.0,1,UPI,3346.11,34,0,1970-01-01 00:00:00.000000007,2026,3,1,15,1970,1,1,1,2026,3
GROC-100065,2025-02-22,North,Snacks,Chocolate,7,289.95,15.0,1,UPI,2029.67,34,1,1970-01-01 00:00:00.000000010,2025,2,1,22,1970,1,1,1,2025,2
GROC-100066,2025-09-15,West,Vegetables,Carrot,19,67.55,25.0,1,Card,1283.49,21,0,1970-01-01 00:00:00.000000009,2025,9,3,15,1970,1,1,1,2025,9
GROC-100067,2024-12-27,South,Snacks,Namkeen,19,175.48,30.0,0,UPI,3334.12,40,1,1970-01-01 00:00:00.000000004,2024,12,4,27,1970,1,1,1,2024,12
GROC-100068,2024-10-27,East,Fruits,Papaya,1,206.14,2.0,1,UPI,206.14,47,0,1970-01-01 00:00:00.000000010,2024,10,4,27,1970,1,1,1,2024,10
GROC-100069,2024-09-13,West,Fruits,Mango,24,171.5,50.0,0,Cash,4116.0,52,1,1970-01-01 00:00:00.000000009,2024,9,3,13,1970,1,1,1,2024,9
GROC-100070,2024-12-18,South,Fruits,Apple,21,331.69,35.0,0,Cash,6965.49,69,1,1970-01-01 00:00:00.000000005,2024,12,4,18,1970,1,1,1,2024,12
GROC-100071,2025-11-07,East,Dairy,Paneer,16,212.02,47.0,1,Cash,3392.4,68,1,1970-01-01 00:00:00.000000003,2025,11,4,7,1970,1,1,1,2025,11
GROC-100072,2025-10-15,East,Fruits,Orange,13,46.39,18.0,1,Cash,603.06,67,0,1970-01-01 00:00:00.000000005,2025,10,4,15,1970,1,1,1,2025,10
GROC-100073,2025-08-09,South,Beverages,Juice,14,209.3,30.0,0,Card,2930.2,27,0,1970-01-01 00:00:00.000000003,2025,8,3,9,1970,1,1,1,2025,8
GROC-100074,2024-09-01,East,Dairy,Cheese,7,265.99,52.0,1,Card,1861.93,61,0,1970-01-01 00:00:00.000000000,2024,9,3,1,1970,1,1,1,2024,9
GROC-100075,2026-03-03,East,Snacks,Chips,8,268.81,10.0,1,Cash,2150.5,26,0,1970-01-01 00:00:00.000000001,2026,3,1,3,1970,1,1,1,2026,3
GROC-100076,2025-11-09,South,Fruits,Orange,2,301.64,43.0,1,Card,603.29,59,1,1970-01-01 00:00:00.000000010,2025,11,4,9,1970,1,1,1,2025,11
GROC-100077,2025-06-29,South,Snacks,Chocolate,20,166.83,44.0,0,Card,3336.6,19,1,1970-01-01 00:00:00.000000011,2025,6,2,29,1970,1,1,1,2025,6
GROC-100078,2024-07-01,East,Beverages,Energy Drink,2,214.55,49.0,1,Cash,429.1,28,0,1970-01-01 00:00:00.000000003,2024,7,3,1,1970,1,1,1,2024,7
GROC-100079,2024-08-02,North,Snacks,Candy,3,321.14,9.0,1,Card,963.42,63,0,1970-01-01 00:00:00.000000003,2024,8,3,2,1970,1,1,1,2024,8
GROC-100080,2026-04-03,North,Beverages,Tea,10,94.69,30.0,1,Cash,946.94,67,0,1970-01-01 00:00:00.000000008,2026,4,2,3,1970,1,1,1,2026,4
GROC-100081,2026-03-04,West,Snacks,Chocolate,19,282.56,19.0,0,Cash,5368.64,41,0,1970-01-01 00:00:00.000000004,2026,3,1,4,1970,1,1,1,2026,3
GROC-100082,2025-10-08,South,Beverages,Juice,18,143.24,34.0,1,UPI,2578.33,49,0,1970-01-01 00:00:00.000000009,2025,10,4,8,1970,1,1,1,2025,10
GROC-100083,2025-10-05,North,Snacks,Namkeen,6,245.51,18.0,1,UPI,1473.04,69,0,1970-01-01 00:00:00.000000011,2025,10,4,5,1970,1,1,1,2025,10
GROC-100084,2024-06-26,West,Dairy,Milk,1,270.26,49.0,1,UPI,270.26,28,0,1970-01-01 00:00:00.000000002,2024,6,2,26,1970,1,1,1,2024,6
GROC-100085,2025-07-17,East,Fruits,Mango,20,143.38,40.0,0,Card,2867.6,26,0,1970-01-01 00:00:00.000000010,2025,7,3,17,1970,1,1,1,2025,7
GROC-100086,2025-08-17,East,Fruits,Banana,21,197.95,51.0,1,Cash,4157.01,27,0,1970-01-01 00:00:00.000000006,2025,8,3,17,1970,1,1,1,2025,8
GROC-100087,2026-01-15,North,Fruits,Mango,12,200.98,39.0,0,Card,2411.76,29,0,1970-01-01 00:00:00.000000007,2026,1,1,15,1970,1,1,1,2026,1
GROC-100088,2024-07-22,North,Fruits,Banana,15,31.98,49.0,1,UPI,479.68,31,1,1970-01-01 00:00:00.000000000,2024,7,3,22,1970,1,1,1,2024,7
GROC-100089,2024-11-11,East,Fruits,Orange,13,156.32,61.0,0,UPI,2032.16,58,0,1970-01-01 00:00:00.000000002,2024,11,4,11,1970,1,1,1,2024,11
GROC-100090,2026-03-04,East,Snacks,Namkeen,11,272.64,58.0,1,Cash,2998.99,63,0,1970-01-01 00:00:00.000000006,2026,3,1,4,1970,1,1,1,2026,3
GROC-100091,2025-10-21,South,Vegetables,Tomato,3,176.45,27.0,1,Cash,529.35,24,0,1970-01-01 00:00:00.000000009,2025,10,4,21,1970,1,1,1,2025,10
GROC-100092,2025-04-03,East,Snacks,Biscuits,8,192.78,15.0,1,Card,1542.22,68,0,1970-01-01 00:00:00.000000010,2025,4,2,3,1970,1,1,1,2025,4
GROC-100093,2024-05-08,East,Dairy,Curd,1,456.11,14.0,0,UPI,456.11,66,0,1970-01-01 00:00:00.000000010,2024,5,2,8,1970,1,1,1,2024,5
GROC-100094,2025-09-18,East,Beverages,Coffee,11,154.12,46.0,0,Cash,1695.32,21,0,1970-01-01 00:00:00.000000010,2025,9,3,18,1970,1,1,1,2025,9
GROC-100095,2025-07-26,North,Beverages,Coffee,3,230.21,5.0,1,Card,690.62,67,0,1970-01-01 00:00:00.000000001,2025,7,3,26,1970,1,1,1,2025,7
GROC-100096,2025-01-17,North,Beverages,Energy Drink,11,17.31,29.0,1,Card,190.36,65,0,1970-01-01 00:00:00.000000008,2025,1,1,17,1970,1,1,1,2025,1
GROC-100097,2025-10-09,South,Dairy,Cheese,7,174.07,,1,UPI,1218.48,24,0,1970-01-01 00:00:00.000000004,2025,10,4,9,1970,1,1,1,2025,10
GROC-100098,2024-08-10,North,Fruits,Apple,2,257.29,5.0,1,Cash,514.58,29,0,1970-01-01 00:00:00.000000008,2024,8,3,10,1970,1,1,1,2024,8
GROC-100099,2026-04-04,North,Vegetables,Carrot,2,81.09,41.0,0,Cash,162.18,39,0,1970-01-01 00:00:00.000000006,2026,4,2,4,1970,1,1,1,2026,4
GROC-100100,2024-12-12,North,Beverages,Coffee,17,268.37,46.0,0,Card,4562.29,57,0,1970-01-01 00:00:00.000000007,2024,12,4,12,1970,1,1,1,2024,12
GROC-100101,2024-08-25,North,Snacks,Namkeen,13,102.05,32.0,0,Card,1326.65,57,1,1970-01-01 00:00:00.000000010,2024,8,3,25,1970,1,1,1,2024,8
GROC-100102,2025-08-17,West,Dairy,Cheese,1,444.42,22.0,0,UPI,444.42,37,0,1970-01-01 00:00:00.000000005,2025,8,3,17,1970,1,1,1,2025,8
GROC-100103,2026-04-05,East,Fruits,Papaya,24,185.72,47.0,0,Cash,4457.28,44,0,1970-01-01 00:00:00.000000005,2026,4,2,5,1970,1,1,1,2026,4
GROC-100104,2024-06-07,South,Vegetables,Tomato,20,185.01,40.0,1,UPI,3700.21,24,0,1970-01-01 00:00:00.000000009,2024,6,2,7,1970,1,1,1,2024,6
GROC-100105,2026-04-04,South,Vegetables,Onion,8,74.13,37.0,0,UPI,593.04,19,1,1970-01-01 00:00:00.000000006,2026,4,2,4,1970,1,1,1,2026,4
GROC-100106,2026-03-19,West,Dairy,Cheese,7,403.44,26.0,1,UPI,2824.08,56,1,1970-01-01 00:00:00.000000006,2026,3,1,19,1970,1,1,1,2026,3
GROC-100107,2024-10-06,South,Vegetables,Tomato,20,71.82,29.0,0,Cash,1436.4,27,1,1970-01-01 00:00:00.000000005,2024,10,4,6,1970,1,1,1,2024,10
GROC-100108,2025-05-03,West,Vegetables,Onion,11,158.76,31.0,1,Card,1746.31,32,1,1970-01-01 00:00:00.000000008,2025,5,2,3,1970,1,1,1,2025,5
GROC-100109,2026-02-22,East,Beverages,Cold Drink,21,16.09,59.0,0,Cash,337.89,63,0,1970-01-01 00:00:00.000000000,2026,2,1,22,1970,1,1,1,2026,2
GROC-100110,2025-12-26,North,Fruits,Banana,13,129.24,44.0,1,Card,1680.16,60,1,1970-01-01 00:00:00.000000011,2025,12,4,26,1970,1,1,1,2025,12
GROC-100111,2025-03-20,North,Vegetables,Spinach,24,204.18,25.0,0,Card,4900.22,64,0,1970-01-01 00:00:00.000000002,2025,3,1,20,1970,1,1,1,2025,3
GROC-100112,2025-12-30,North,Dairy,Cheese,16,115.91,20.0,0,Cash,1854.5,43,0,1970-01-01 00:00:00.000000007,2025,12,4,30,1970,1,1,1,2025,12
GROC-100113,2025-10-04,North,Vegetables,Spinach,24,90.32,27.0,0,Card,2167.7,18,1,1970-01-01 00:00:00.000000011,2025,10,4,4,1970,1,1,1,2025,10
GROC-100114,2025-07-15,East,Fruits,Mango,19,294.02,63.0,1,Cash,5586.42,52,0,1970-01-01 00:00:00.000000008,2025,7,3,15,1970,1,1,1,2025,7
GROC-100115,2024-12-13,East,Dairy,Paneer,5,188.11,21.0,1,Card,940.54,18,0,1970-01-01 00:00:00.000000003,2024,12,4,13,1970,1,1,1,2024,12
GROC-100116,2025-07-18,North,Snacks,Candy,7,167.07,37.0,0,Card,1169.49,19,1,1970-01-01 00:00:00.000000001,2025,7,3,18,1970,1,1,1,2025,7
GROC-100117,2025-05-23,South,Fruits,Mango,6,127.2,18.0,0,UPI,763.2,23,1,1970-01-01 00:00:00.000000004,2025,5,2,23,1970,1,1,1,2025,5
GROC-100118,2026-03-01,East,Vegetables,Tomato,20,240.85,39.0,0,Cash,4816.98,42,0,1970-01-01 00:00:00.000000000,2026,3,1,1,1970,1,1,1,2026,3
GROC-100119,2025-10-18,South,Fruits,Banana,16,189.46,40.0,0,UPI,3031.36,23,0,1970-01-01 00:00:00.000000007,2025,10,4,18,1970,1,1,1,2025,10
GROC-100120,2024-11-24,South,Vegetables,Carrot,21,107.39,59.0,0,Card,2255.13,57,0,1970-01-01 00:00:00.000000000,2024,11,4,24,1970,1,1,1,2024,11
GROC-100121,2026-04-24,East,Fruits,Mango,7,303.27,26.0,1,Card,2122.9,26,0,1970-01-01 00:00:00.000000005,2026,4,2,24,1970,1,1,1,2026,4
GROC-100122,2025-04-19,North,Beverages,Coffee,9,149.95,56.0,1,Card,1349.57,19,1,1970-01-01 00:00:00.000000009,2025,4,2,19,1970,1,1,1,2025,4
GROC-100123,2025-08-20,East,Beverages,Energy Drink,13,108.89,62.0,1,UPI,1415.55,49,1,1970-01-01 00:00:00.000000005,2025,8,3,20,1970,1,1,1,2025,8
GROC-100124,2025-05-24,South,Snacks,Candy,16,122.55,60.0,0,Card,1960.8,57,1,1970-01-01 00:00:00.000000010,2025,5,2,24,1970,1,1,1,2025,5
GROC-100125,2025-02-07,North,Fruits,Papaya,10,50.68,48.0,1,UPI,506.82,34,0,1970-01-01 00:00:00.000000009,2025,2,1,7,1970,1,1,1,2025,2
GROC-100126,2025-01-08,West,Snacks,Chocolate,4,43.18,39.0,1,Cash,172.72,27,0,1970-01-01 00:00:00.000000003,2025,1,1,8,1970,1,1,1,2025,1
GROC-100127,2025-07-18,East,Fruits,Mango,23,132.16,,1,Cash,3039.66,54,1,1970-01-01 00:00:00.000000010,2025,7,3,18,1970,1,1,1,2025,7
GROC-100128,2025-08-17,South,Vegetables,Carrot,9,137.77,57.0,0,UPI,1239.97,39,0,1970-01-01 00:00:00.000000006,2025,8,3,17,1970,1,1,1,2025,8
GROC-100129,2024-12-26,North,Vegetables,Spinach,4,176.88,22.0,1,Cash,707.53,49,0,1970-01-01 00:00:00.000000002,2024,12,4,26,1970,1,1,1,2024,12
GROC-100130,2024-09-04,North,Beverages,Energy Drink,14,268.74,52.0,1,Cash,3762.29,54,0,1970-01-01 00:00:00.000000004,2024,9,3,4,1970,1,1,1,2024,9
GROC-100131,2024-08-19,East,Beverages,Energy Drink,6,133.78,14.0,1,Cash,802.71,48,1,1970-01-01 00:00:00.000000000,2024,8,3,19,1970,1,1,1,2024,8
GROC-100132,2025-04-06,South,Dairy,Butter,6,325.95,16.0,1,Card,1955.73,38,0,1970-01-01 00:00:00.000000002,2025,4,2,6,1970,1,1,1,2025,4
GROC-100133,2025-12-12,South,Beverages,Tea,10,90.6,46.0,1,UPI,906.0,22,0,1970-01-01 00:00:00.000000010,2025,12,4,12,1970,1,1,1,2025,12
GROC-100134,2026-03-16,North,Dairy,Paneer,7,71.13,23.0,1,Card,497.91,41,0,1970-01-01 00:00:00.000000006,2026,3,1,16,1970,1,1,1,2026,3
GROC-100135,2025-08-16,South,Vegetables,Carrot,2,25.95,16.0,0,UPI,51.9,23,0,1970-01-01 00:00:00.000000010,2025,8,3,16,1970,1,1,1,2025,8
GROC-100136,2025-08-28,South,Beverages,Juice,2,237.08,6.0,1,UPI,474.17,24,0,1970-01-01 00:00:00.000000006,2025,8,3,28,1970,1,1,1,2025,8
GROC-100137,2024-09-08,South,Snacks,Biscuits,8,59.98,,1,Cash,479.85,32,0,1970-01-01 00:00:00.000000002,2024,9,3,8,1970,1,1,1,2024,9
GROC-100138,2024-09-12,West,Dairy,Cheese,3,275.33,37.0,1,Card,825.99,39,0,1970-01-01 00:00:00.000000000,2024,9,3,12,1970,1,1,1,2024,9
GROC-100139,2024-07-14,West,Snacks,Chips,12,262.29,36.0,1,Cash,3147.48,28,0,1970-01-01 00:00:00.000000008,2024,7,3,14,1970,1,1,1,2024,7
GROC-100140,2025-07-02,South,Snacks,Namkeen,6,268.02,13.0,1,,1608.14,28,0,1970-01-01 00:00:00.000000000,2025,7,3,2,1970,1,1,1,2025,7
GROC-100141,2025-01-18,West,Vegetables,Tomato,7,74.39,28.0,1,UPI,520.76,33,0,1970-01-01 00:00:00.000000009,2025,1,1,18,1970,1,1,1,2025,1
GROC-100142,2024-09-15,West,Beverages,Cold Drink,17,308.75,63.0,1,Cash,5248.79,57,1,1970-01-01 00:00:00.000000008,2024,9,3,15,1970,1,1,1,2024,9
GROC-100143,2025-05-18,North,Fruits,Papaya,7,311.35,37.0,0,Cash,2179.45,39,1,1970-01-01 00:00:00.000000007,2025,5,2,18,1970,1,1,1,2025,5
GROC-100144,2025-03-04,West,Fruits,Mango,23,13.8,66.0,1,UPI,317.49,35,0,1970-01-01 00:00:00.000000002,2025,3,1,4,1970,1,1,1,2025,3
GROC-100145,2025-02-04,South,Dairy,Butter,19,53.28,44.0,0,Cash,1012.4,28,0,1970-01-01 00:00:00.000000004,2025,2,1,4,1970,1,1,1,2025,2
GROC-100146,2025-10-01,South,Beverages,Tea,13,190.75,61.0,1,Cash,2479.76,65,0,1970-01-01 00:00:00.000000007,2025,10,4,1,1970,1,1,1,2025,10
GROC-100147,2025-03-06,North,Snacks,Chips,2,338.21,6.0,0,Cash,676.42,20,0,1970-01-01 00:00:00.000000008,2025,3,1,6,1970,1,1,1,2025,3
GROC-100148,2024-07-07,North,Fruits,Orange,23,106.28,27.0,1,Cash,2444.39,40,0,1970-01-01 00:00:00.000000005,2024,7,3,7,1970,1,1,1,2024,7
GROC-100149,2026-03-26,South,Fruits,Orange,6,215.12,35.0,1,UPI,1290.73,68,1,1970-01-01 00:00:00.000000006,2026,3,1,26,1970,1,1,1,2026,3
GROC-100150,2024-07-19,West,Dairy,Milk,6,304.04,44.0,0,Cash,1824.23,59,0,1970-01-01 00:00:00.000000010,2024,7,3,19,1970,1,1,1,2024,7
GROC-100151,2024-09-29,South,Dairy,Curd,7,382.84,41.0,0,UPI,2679.91,27,0,1970-01-01 00:00:00.000000009,2024,9,3,29,1970,1,1,1,2024,9
