invoice_id,date,region,category,product_name,units_sold,wholesale_price,retail_price,revenue,inventory_level,damage_units,returned_items,festival_sale,supplier_name,customer_rating
STEEL-29,2023-07-01,Hyderabad,Bowls,Rice Bowl,131,131.38,204.4,26775.99,433,2,2,0,Aguilar Inc,3.5
STEEL-30,2023-08-11,Delhi,Knives,Butter Knife,43,258.57,480.68,20669.41,123,3,0,1,Flores Ltd,3.3
STEEL-31,2026-01-07,Delhi,Plates,Steel Plate,92,171.45,397.94,36610.44,462,4,3,1,Gordon-Riley,4.5
STEEL-32,2025-10-06,Ahmedabad,Plates,Round Plate,45,208.19,454.19,20438.42,280,0,1,0,"Williams, Patel and Gilmore",4.4
STEEL-33,2023-06-24,Pune,Spoons,Dessert Spoon,83,139.08,200.34,16627.97,418,1,0,1,Sharp-Carr,3.9
STEEL-34,2024-12-21,Pune,Knives,Kitchen Knife,132,36.12,56.87,7507.39,338,0,3,1,Moran-Taylor,2.6
STEEL-35,2025-03-06,Delhi,Knives,Butter Knife,88,22.88,33.35,2935.11,405,3,2,1,"Brown, Hunter and Meyer",2.8
STEEL-36,2024-05-19,Hyderabad,Plates,Steel Plate,98,297.1,586.93,57519.15,456,5,0,0,"Garcia, Molina and Kane",5.0
STEEL-37,2023-09-06,Hyderabad,Spatulas,BBQ Spatula,107,126.59,230.48,24660.84,168,5,2,0,Stone Ltd,3.0
STEEL-38,2025-01-15,Pune,Bowls,Rice Bowl,32,272.73,635.92,20349.52,321,5,0,1,Brown and Sons,4.1
STEEL-39,2024-10-25,Pune,Forks,Dinner Fork,88,212.4,295.81,26031.45,258,5,2,1,Snow Group,4.0
STEEL-40,2025-01-30,Hyderabad,Bowls,Serving Bowl,134,175.4,215.94,28936.6,393,2,2,1,Moore LLC,3.3
STEEL-41,2025-01-11,Delhi,Glasses,Water Glass,39,292.09,492.5,19207.39,208,5,3,0,Murray LLC,4.7
STEEL-42,2024-05-01,Delhi,Spatulas,Flat Spatula,145,215.18,302.23,43824.0,293,0,2,1,Long-Reynolds,4.5
STEEL-43,2025-12-02,Ahmedabad,Bowls,Soup Bowl,73,74.04,93.6,6833.0,355,1,2,0,"Carter, Johnson and Harrison",4.6
STEEL-44,2025-01-11,Mumbai,Spoons,Serving Spoon,22,158.02,372.69,8199.12,186,4,3,1,Huber-Hayes,4.3
STEEL-45,2025-10-27,Mumbai,Knives,Fruit Knife,137,205.06,404.38,55400.14,245,5,2,0,Rose Inc,3.2
STEEL-46,2025-06-04,Delhi,Forks,Dinner Fork,146,159.94,263.81,38515.87,242,2,0,1,Cox Inc,4.0
STEEL-47,2025-08-17,Hyderabad,Plates,Round Plate,95,190.08,383.4,36423.01,488,2,0,1,Curtis-Jones,4.2
STEEL-48,2023-12-29,Delhi,Spoons,Serving Spoon,14,256.35,437.02,6118.3,508,4,2,1,"Gibbs, Zhang and Walker",4.0
STEEL-49,2023-05-02,Hyderabad,Glasses,Juice Glass,84,230.04,500.74,42062.42,578,1,0,0,Ritter PLC,3.3
STEEL-50,2026-03-25,Ahmedabad,Spatulas,Cooking Spatula,32,77.82,143.52,4592.51,256,1,1,1,Erickson and Sons,3.5
STEEL-51,2025-03-29,Pune,Forks,Fruit Fork,83,57.1,136.79,11353.79,570,4,3,0,"Figueroa, Jones and Hernandez",3.8
STEEL-52,2026-04-01,Pune,Bowls,Rice Bowl,6,96.44,187.96,1127.74,170,3,2,1,Sexton Inc,4.8
STEEL-53,2024-02-25,Ahmedabad,Glasses,Water Glass,8,269.44,447.6,3580.79,101,4,0,0,Johnson-Parker,4.2
STEEL-54,2025-03-08,Pune,Spoons,Dessert Spoon,8,158.39,325.58,2604.65,120,1,2,1,"Luna, Mendoza and Davis",2.5
STEEL-55,2024-07-20,Hyderabad,Bowls,Soup Bowl,17,38.67,74.45,1265.73,231,2,0,0,Miller and Sons,4.9
STEEL-56,2024-05-12,Ahmedabad,Knives,Kitchen Knife,59,260.3,595.83,35153.95,225,2,2,0,Camacho-Mckenzie,4.1
STEEL-57,2023-09-22,Hyderabad,Spoons,Dessert Spoon,130,102.33,123.41,16043.88,343,1,3,0,Castillo-Burton,4.9
STEEL-58,2023-11-20,Ahmedabad,Glasses,Juice Glass,121,142.56,239.11,28931.98,393,3,2,0,Mclean LLC,4.1
STEEL-59,2024-11-28,Pune,Forks,Mini Fork,144,118.79,185.9,26769.87,505,5,1,1,Morgan-Simon,3.6
STEEL-60,2026-03-28,Hyderabad,Plates,Steel Plate,21,115.47,214.44,4503.32,80,0,0,0,Williams PLC,5.0
STEEL-61,2026-03-20,Ahmedabad,Spatulas,Flat Spatula,64,225.2,502.16,32138.2,360,0,3,1,Tanner-Skinner,3.4
STEEL-62,2025-03-09,Ahmedabad,Knives,Butter Knife,123,100.13,218.87,26920.93,530,3,0,1,"Alvarez, Simon and Gonzalez",4.5
STEEL-63,2026-01-18,Pune,Plates,Round Plate,60,192.44,369.6,22176.15,312,1,0,0,Mcmahon-Lawrence,3.9
STEEL-64,2025-05-05,Hyderabad,Plates,Steel Plate,58,278.71,681.72,39539.68,213,1,1,0,"Beltran, Robertson and Sanchez",2.6
STEEL-65,2024-07-31,Mumbai,Forks,Dinner Fork,86,197.15,336.7,28956.5,376,5,3,1,Brewer-Carlson,
STEEL-66,2024-04-16,Pune,Spatulas,Cooking Spatula,129,120.08,181.96,23472.92,403,0,2,1,Cruz-Preston,3.3
STEEL-67,2025-02-18,Pune,Forks,Fruit Fork,98,160.81,399.05,39107.13,366,0,1,0,Nolan PLC,3.7
STEEL-68,2025-05-02,Hyderabad,Bowls,Rice Bowl,35,266.63,511.27,17894.58,111,1,3,0,Lee and Sons,4.1
STEEL-69,2025-02-04,Delhi,Glasses,Water Glass,90,126.11,287.87,25908.56,571,2,0,1,Mccormick Ltd,4.6
STEEL-70,2025-07-22,Delhi,Spatulas,Cooking Spatula,8,220.25,455.64,3645.15,375,2,2,1,Brown PLC,4.5
STEEL-71,2024-05-25,Delhi,Knives,Kitchen Knife,68,243.67,493.94,33587.98,322,2,0,0,Sosa-Anderson,3.3
STEEL-72,2024-01-12,Hyderabad,Spatulas,BBQ Spatula,123,105.46,168.5,20724.98,521,4,0,0,Byrd-Chavez,3.8
STEEL-73,2025-06-26,Pune,Spoons,Serving Spoon,111,273.24,382.26,42431.15,406,5,1,1,Taylor LLC,3.2
STEEL-74,2025-01-07,Hyderabad,Glasses,Water Glass,65,237.61,303.48,19726.38,469,2,3,1,Taylor LLC,4.3
STEEL-75,2024-12-31,Ahmedabad,Spoons,Dessert Spoon,139,297.03,488.21,67860.85,309,5,3,1,"Rios, Barnes and Moore",3.2
STEEL-76,2025-07-17,Mumbai,Bowls,Rice Bowl,31,248.36,598.85,18564.29,503,1,2,1,"Esparza, Velasquez and Jones",3.8
STEEL-77,2026-02-19,Ahmedabad,Plates,Round Plate,105,118.11,212.22,22282.65,365,0,0,0,Jackson LLC,3.7
STEEL-78,2023-11-21,Mumbai,Spoons,Serving Spoon,93,108.14,158.95,14782.29,342,5,2,0,Willis LLC,3.9
STEEL-79,2025-12-26,Delhi,Glasses,Juice Glass,38,38.5,63.96,2430.36,463,5,3,1,Blake Ltd,3.5
STEEL-80,2025-07-02,Ahmedabad,Glasses,Water Glass,105,283.39,344.7,36193.08,330,3,1,0,Glover-Brown,3.8
STEEL-81,2023-05-13,Pune,Spoons,Tea Spoon,40,258.36,410.19,16407.45,443,0,0,0,"Jackson, Horn and Castro",3.7
STEEL-82,2023-06-18,Pune,Glasses,Tall Glass,106,87.91,181.62,19252.22,287,4,1,1,Riley and Sons,4.8
STEEL-83,2025-01-29,Delhi,Plates,Steel Plate,82,33.36,47.61,3903.87,522,5,3,1,Johnson-Anderson,4.5
STEEL-84,2026-02-17,Delhi,Knives,Fruit Knife,129,202.92,469.09,60512.99,392,2,3,1,Brown-Johnson,2.6
STEEL-85,2023-08-24,Mumbai,Plates,Round Plate,31,252.84,490.97,15220.21,271,3,1,0,Coleman PLC,3.9
STEEL-86,2024-10-28,Delhi,Knives,Fruit Knife,104,199.15,426.5,44356.07,546,0,2,1,Wood Inc,4.3
STEEL-87,2024-03-19,Delhi,Forks,Fruit Fork,42,136.22,181.58,7626.43,149,2,2,0,Ellis-Patton,2.7
STEEL-88,2024-05-06,Mumbai,Spoons,Tea Spoon,43,130.82,165.05,7096.97,458,4,2,1,Mclaughlin-Robbins,4.2
STEEL-89,2025-03-23,Ahmedabad,Knives,Butter Knife,106,96.14,239.74,25412.44,209,1,1,0,Hernandez PLC,4.9
STEEL-90,2026-03-11,Hyderabad,Bowls,Rice Bowl,133,257.34,566.66,75365.83,346,3,3,0,Fuller Ltd,3.8
STEEL-91,2024-03-28,Delhi,Glasses,Juice Glass,73,168.45,227.41,16601.21,363,1,3,0,Jones-Baxter,4.0
STEEL-92,2026-02-10,Ahmedabad,Knives,Kitchen Knife,70,92.09,205.3,14370.87,158,2,0,1,Padilla Group,4.4
STEEL-93,2026-03-21,Delhi,Forks,Mini Fork,139,152.97,194.89,27090.22,529,1,1,1,Jensen Inc,3.2
STEEL-94,2024-11-11,Ahmedabad,Glasses,Water Glass,25,165.21,230.76,5768.98,410,3,3,1,Chapman LLC,3.8
STEEL-95,2026-01-27,Hyderabad,Spatulas,Cooking Spatula,121,186.61,279.86,33863.1,264,1,3,1,Wilson Ltd,2.7
STEEL-96,2023-06-20,Ahmedabad,Spatulas,Flat Spatula,20,56.93,129.9,2598.0,242,3,2,0,Castaneda-Mcmahon,4.7
STEEL-97,2023-11-17,Delhi,Forks,Fruit Fork,75,280.68,634.48,47585.84,340,1,0,0,Lee Group,3.2
STEEL-98,2025-11-23,Pune,Bowls,Rice Bowl,102,271.44,350.65,35766.49,497,4,1,1,"Anderson, Gutierrez and Morris",3.5
STEEL-99,2024-05-04,Mumbai,Bowls,Soup Bowl,45,282.48,343.18,15443.13,433,4,0,1,Stark-Wilson,
STEEL-100,2026-04-21,Hyderabad,Knives,Butter Knife,91,49.77,106.96,9733.36,290,5,1,1,Bean PLC,5.0
STEEL-101,2026-02-18,Ahmedabad,Spatulas,BBQ Spatula,10,144.12,320.55,3205.5,227,1,3,0,Barker-Clay,4.9
STEEL-102,2025-09-12,Ahmedabad,Bowls,Rice Bowl,95,71.12,174.72,16598.49,402,3,1,1,Fox Inc,2.7
STEEL-103,2025-12-03,Hyderabad,Spoons,Serving Spoon,52,31.99,78.9,4102.99,523,2,2,1,Lawson-Gonzalez,4.3
STEEL-104,2026-03-28,Delhi,Glasses,Tall Glass,21,226.44,477.1,10019.06,399,3,0,1,Riley-Elliott,4.4
STEEL-105,2024-09-03,Mumbai,Knives,Fruit Knife,69,267.97,329.27,22719.59,496,1,3,1,Rocha-Rowland,3.5
STEEL-106,2026-04-23,Ahmedabad,Forks,Dinner Fork,78,23.66,49.77,3881.89,343,2,0,0,Taylor-Moore,4.1
STEEL-107,2025-09-15,Delhi,Knives,Fruit Knife,138,262.36,629.58,86882.47,584,4,3,1,Tate Group,4.4
STEEL-108,2024-12-21,Delhi,Forks,Mini Fork,8,64.51,113.94,911.53,100,1,2,0,Dunn-Adkins,3.0
STEEL-109,2025-09-27,Pune,Knives,Kitchen Knife,30,222.72,490.02,14700.56,482,3,0,0,Anderson-Moore,2.8
STEEL-110,2026-03-12,Ahmedabad,Glasses,Juice Glass,23,168.17,383.06,8810.32,218,4,3,0,"Taylor, Rodriguez and Johnson",3.1
STEEL-111,2025-07-06,Pune,Plates,Thali Plate,16,288.05,574.51,9192.1,392,1,0,0,Krueger LLC,
STEEL-112,2025-04-19,Ahmedabad,Bowls,Rice Bowl,108,164.57,349.93,37792.46,379,5,2,1,Lee PLC,3.0
STEEL-113,2024-02-08,Mumbai,Knives,Fruit Knife,50,37.32,88.75,4437.46,103,0,2,0,Noble-Flores,2.5
STEEL-114,2024-08-15,Delhi,Spatulas,Flat Spatula,46,182.38,285.55,13135.2,483,5,0,1,"Webb, Mathis and Kelly",3.5
STEEL-115,2026-02-03,Ahmedabad,Spatulas,Flat Spatula,121,129.07,207.3,25082.98,281,2,0,0,Scott Inc,3.2
STEEL-116,2024-09-04,Pune,Knives,Butter Knife,27,94.25,160.43,4331.73,481,2,0,1,"Garcia, Neal and Dean",4.1
STEEL-117,2023-07-20,Mumbai,Bowls,Soup Bowl,79,98.51,188.04,14854.79,336,2,1,1,"Chavez, Yang and Macias",3.3
STEEL-118,2025-10-31,Mumbai,Plates,Steel Plate,129,41.32,60.33,7782.22,538,5,2,1,"King, Jones and Henry",2.7
STEEL-119,2025-08-11,Ahmedabad,Glasses,Juice Glass,85,186.78,343.69,29214.03,281,5,2,0,"Nelson, Griffin and Castillo",4.8
STEEL-120,2023-11-14,Hyderabad,Spatulas,Cooking Spatula,140,180.01,226.14,31659.97,246,1,1,0,Richardson PLC,3.2
STEEL-121,2024-11-28,Pune,Glasses,Juice Glass,18,293.53,610.13,10982.3,116,5,2,1,Ramirez-Morris,4.7
STEEL-122,2023-08-25,Pune,Plates,Steel Plate,136,166.39,294.34,40029.96,455,3,1,0,Davies and Sons,2.6
STEEL-123,2023-11-06,Ahmedabad,Bowls,Soup Bowl,133,181.61,420.62,55942.41,254,1,0,0,Martinez and Sons,4.6
STEEL-124,2026-03-04,Hyderabad,Plates,Thali Plate,120,225.63,448.66,53839.3,338,0,3,0,"Smith, Miller and Neal",
STEEL-125,2025-04-01,Mumbai,Bowls,Serving Bowl,76,55.56,94.12,7152.86,405,2,3,0,"Burgess, Hill and White",3.6
STEEL-126,2025-08-13,Hyderabad,Knives,Butter Knife,124,38.23,71.87,8911.94,417,1,1,1,Davis-Jackson,3.5
STEEL-127,2025-04-20,Mumbai,Glasses,Water Glass,149,87.4,108.26,16131.45,326,2,2,1,Phillips Inc,3.0
STEEL-128,2025-09-21,Delhi,Spatulas,BBQ Spatula,139,73.39,142.04,19743.89,370,1,0,1,"Noble, Werner and Parker",
STEEL-129,2025-06-23,Ahmedabad,Spatulas,Flat Spatula,139,153.86,309.34,42998.16,623,4,0,1,,2.8
STEEL-130,2026-03-08,Ahmedabad,Spatulas,BBQ Spatula,87,123.03,292.5,25447.34,461,0,3,1,"Gibbs, Brown and Scott",2.7
STEEL-131,2025-05-21,Delhi,Bowls,Soup Bowl,32,208.24,296.59,9490.84,514,2,2,1,"Hines, Brooks and Mccall",4.6
STEEL-132,2026-04-17,Ahmedabad,Knives,Kitchen Knife,16,156.21,350.81,5612.92,467,1,3,1,Fitzpatrick-Williams,4.9
STEEL-133,2025-04-15,Pune,Forks,Fruit Fork,72,37.74,92.15,6634.49,357,3,3,0,Bell Group,3.9
STEEL-134,2024-11-12,Mumbai,Spatulas,Cooking Spatula,13,47.1,66.98,870.74,123,4,3,0,Serrano-Carroll,3.9
STEEL-135,2025-08-30,Ahmedabad,Spoons,Serving Spoon,142,82.4,205.29,29150.52,415,2,0,1,"Miller, Haley and Brown",4.0
STEEL-136,2023-06-27,Delhi,Plates,Thali Plate,39,291.96,381.76,14888.67,294,4,3,0,Webb-Spencer,3.6
STEEL-137,2023-12-01,Mumbai,Plates,Thali Plate,20,162.73,369.93,7398.58,175,0,0,1,Hunter-Sims,2.7
STEEL-138,2024-08-19,Delhi,Bowls,Rice Bowl,43,22.74,45.5,1956.3,436,0,2,1,Burton and Sons,4.9
STEEL-139,2024-03-07,Delhi,Bowls,Rice Bowl,131,117.3,234.52,30722.23,190,4,3,1,Wilson and Sons,2.6
STEEL-140,2025-11-16,Pune,Glasses,Tall Glass,128,194.51,374.45,47930.16,287,2,2,0,"Morrison, Elliott and Schmidt",4.4
STEEL-141,2026-01-19,Hyderabad,Spatulas,BBQ Spatula,35,296.89,419.72,14690.37,180,3,0,0,Rodriguez-Jones,2.6
STEEL-142,2024-09-11,Delhi,Plates,Steel Plate,74,128.44,290.21,21475.51,181,1,2,0,Ferguson Group,2.7
STEEL-143,2023-08-10,Pune,Spatulas,Cooking Spatula,117,257.06,438.62,51318.98,282,2,2,1,Miller-Joseph,2.9
STEEL-144,2025-03-07,Hyderabad,Glasses,Water Glass,45,54.78,134.26,6041.92,142,4,0,0,"Rios, Montgomery and Williams",5.0
STEEL-145,2025-06-26,Hyderabad,Knives,Kitchen Knife,43,40.54,55.35,2380.26,310,1,3,0,"Wagner, Hayes and Wilson",4.9
STEEL-146,2025-11-02,Pune,Plates,Steel Plate,25,275.57,513.61,12840.15,134,1,0,1,,3.6
STEEL-147,2023-07-06,Ahmedabad,Bowls,Serving Bowl,92,230.63,296.57,27284.26,473,1,3,1,Myers-Mcdonald,5.0
STEEL-148,2025-04-05,Ahmedabad,Spoons,Dessert Spoon,93,210.74,478.73,44521.64,310,1,2,0,"Patel, Christensen and Garcia",4.6
STEEL-149,2026-01-05,Pune,Bowls,Soup Bowl,71,264.18,329.82,23417.34,315,0,2,0,Fox Inc,4.7
STEEL-150,2025-09-04,Hyderabad,Glasses,Tall Glass,129,89.23,142.34,18361.45,414,3,3,0,Duke Group,4.8
STEEL-151,2023-06-05,Mumbai,Spatulas,Cooking Spatula,78,184.58,388.95,30338.37,399,3,0,0,Fernandez Ltd,2.8
STEEL-152,2025-09-24,Delhi,Plates,Round Plate,114,22.7,47.7,5438.28,428,2,0,1,"Weiss, Carter and Wilson",4.3
STEEL-153,2024-08-07,Delhi,Spatulas,Flat Spatula,72,62.4,107.21,7719.21,542,3,1,0,"Walker, Dudley and Hill",2.9
STEEL-154,2026-01-23,Ahmedabad,Knives,Kitchen Knife,126,231.52,551.77,69522.89,459,5,1,1,"Rubio, Lopez and Lamb",2.9
STEEL-155,2023-06-01,Pune,Glasses,Tall Glass,109,89.94,111.98,12205.58,512,4,1,1,Thompson Inc,5.0
STEEL-156,2025-10-21,Ahmedabad,Knives,Kitchen Knife,119,270.9,426.22,50720.7,346,1,3,0,"Wilson, Sweeney and Stein",4.9
STEEL-157,2025-01-29,Mumbai,Plates,Thali Plate,104,170.07,280.83,29205.95,258,4,0,1,Ortega LLC,3.5
STEEL-158,2026-03-11,Delhi,Spoons,Serving Spoon,136,36.66,90.08,12251.4,274,4,3,1,Lutz Ltd,4.6
STEEL-159,2025-09-10,Mumbai,Bowls,Rice Bowl,107,46.76,58.93,6306.0,427,3,2,0,Patel LLC,3.9
STEEL-160,2025-10-01,Pune,Bowls,Rice Bowl,32,52.33,82.43,2637.82,421,0,1,1,Davis Ltd,
STEEL-161,2026-04-10,Ahmedabad,Glasses,Water Glass,63,86.07,197.07,12415.48,229,0,3,0,Smith LLC,
STEEL-162,2023-08-08,Hyderabad,Glasses,Tall Glass,97,251.17,585.67,56810.15,424,5,2,1,Haynes-Combs,2.9
STEEL-163,2024-04-07,Pune,Plates,Thali Plate,149,273.31,585.81,87285.93,645,4,0,1,"Smith, Ortiz and Richards",2.9
STEEL-164,2024-09-18,Ahmedabad,Bowls,Soup Bowl,149,195.46,360.75,53751.05,424,4,0,0,"Scott, West and Armstrong",2.9
STEEL-165,2024-10-14,Hyderabad,Bowls,Rice Bowl,98,268.04,384.7,37700.76,373,3,0,0,"Lewis, Larson and Hall",4.4
STEEL-166,2025-12-30,Ahmedabad,Forks,Mini Fork,123,296.22,424.66,52233.23,264,5,3,1,"Bond, Porter and Wolf",3.1
STEEL-167,2024-11-05,Mumbai,Bowls,Serving Bowl,148,167.36,277.07,41006.15,368,2,2,1,Green-Ray,2.7
STEEL-168,2026-01-29,Delhi,Spoons,Tea Spoon,132,170.98,312.58,41259.93,215,5,2,0,Smith-Ruiz,3.4
STEEL-169,2025-04-28,Hyderabad,Forks,Fruit Fork,62,48.15,57.93,3591.93,489,2,1,0,York Ltd,2.8
STEEL-170,2024-04-20,Delhi,Bowls,Serving Bowl,69,195.84,298.29,20582.24,197,3,2,0,Weber LLC,3.0
STEEL-171,2026-01-06,Hyderabad,Glasses,Water Glass,99,116.33,263.03,26039.65,564,3,2,0,Young LLC,4.2
STEEL-172,2025-12-26,Mumbai,Glasses,Water Glass,31,79.98,177.8,5511.83,236,5,1,1,Murray-Robinson,4.6
STEEL-173,2025-02-18,Ahmedabad,Forks,Dinner Fork,18,106.71,160.91,2896.39,109,0,2,1,,4.5
STEEL-174,2024-08-17,Mumbai,Glasses,Tall Glass,127,39.17,51.03,6481.04,323,4,0,1,"Leonard, Taylor and Williams",3.9
STEEL-175,2023-10-02,Mumbai,Knives,Kitchen Knife,64,137.85,262.5,16800.23,130,4,0,1,"Webb, Meyers and Smith",3.1
STEEL-176,2023-07-26,Mumbai,Glasses,Tall Glass,25,199.72,406.82,10170.5,280,0,0,0,Garcia Ltd,4.5
STEEL-177,2025-09-04,Delhi,Forks,Fruit Fork,58,218.97,317.26,18401.36,411,0,0,1,Farmer-Figueroa,3.5
STEEL-178,2026-04-01,Delhi,Plates,Steel Plate,105,270.71,610.37,64088.67,566,3,1,1,"Rodriguez, Tate and Dawson",3.1
STEEL-179,2026-04-27,Hyderabad,Plates,Round Plate,101,81.25,117.83,11900.46,156,4,1,1,"Snow, Edwards and Sullivan",3.8
STEEL-180,2023-10-08,Hyderabad,Glasses,Tall Glass,58,129.17,315.09,18274.95,456,0,2,0,Heath-Nash,3.7
STEEL-181,2025-07-25,Pune,Bowls,Serving Bowl,108,216.25,287.44,31043.69,278,5,0,0,Ruiz Inc,4.8
STEEL-182,2025-11-14,Ahmedabad,Plates,Round Plate,10,99.28,208.83,2088.33,145,2,1,0,"Garza, Hernandez and Smith",3.0
STEEL-183,2025-06-28,Delhi,Bowls,Soup Bowl,124,113.96,160.23,19868.59,597,0,2,1,Christian-Stokes,3.8
STEEL-184,2025-04-05,Ahmedabad,Knives,Kitchen Knife,136,139.11,311.34,42341.63,557,0,0,1,"Smith, Lang and Carr",4.9
STEEL-185,2026-04-20,Mumbai,Spatulas,BBQ Spatula,47,115.03,148.16,6963.46,267,0,1,0,"French, Collins and Myers",3.2
STEEL-186,2023-07-19,Hyderabad,Forks,Fruit Fork,104,65.99,97.73,10164.05,296,5,2,0,Wheeler Ltd,3.7
STEEL-187,2023-11-05,Pune,Knives,Fruit Knife,35,179.72,391.01,13685.19,532,1,2,0,"Cooke, Moore and Watkins",4.4
STEEL-188,2025-08-11,Hyderabad,Glasses,Water Glass,94,84.05,136.29,12811.3,341,5,0,1,Phillips and Sons,4.5
STEEL-189,2025-01-27,Delhi,Knives,Butter Knife,20,35.37,62.34,1246.78,70,3,0,1,Phillips Inc,4.5
STEEL-190,2026-01-01,Mumbai,Glasses,Juice Glass,62,219.2,451.83,28013.58,159,1,1,0,Simpson-Bailey,4.8
STEEL-191,2026-04-15,Hyderabad,Spoons,Serving Spoon,118,145.99,364.9,43058.32,591,3,1,1,Keller and Sons,3.0
STEEL-192,2025-12-14,Pune,Bowls,Rice Bowl,102,35.05,85.31,8701.71,531,5,0,1,Edwards Ltd,4.1
STEEL-193,2024-01-11,Ahmedabad,Forks,Fruit Fork,38,69.95,168.85,6416.32,531,3,3,1,Morales-Ramos,3.3
STEEL-194,2025-12-18,Mumbai,Spoons,Dessert Spoon,149,150.46,369.01,54982.56,369,0,2,1,Nichols-Mercer,3.8
STEEL-195,2023-08-07,Mumbai,Spatulas,Flat Spatula,69,241.06,403.83,27864.6,422,1,0,0,"Carter, Powers and Hawkins",3.7
STEEL-196,2025-08-03,Mumbai,Bowls,Rice Bowl,27,270.55,555.49,14998.27,238,5,3,1,Banks and Sons,4.1
STEEL-197,2025-10-20,Pune,Plates,Thali Plate,81,240.76,586.8,47530.84,150,3,1,1,Compton-Warren,4.5
STEEL-198,2024-05-11,Pune,Plates,Thali Plate,7,116.09,254.5,1781.48,330,5,1,0,Cooper Inc,2.6
