transaction_id,date,region,category,product_name,units_sold,cost_price,selling_price,revenue,inventory_level,ordered_stock,promotion,return_count,supplier_delay_days,customer_rating,damaged_stock
DIY-91,2023-08-27,West,Cleaning,Cleaning Spray,27,273.83,279.94,7558.37,761,788,1,2,10.0,4.4,0
DIY-92,2024-07-14,North,Electrical,Battery,79,228.91,295.16,23317.34,115,194,0,0,17.0,2.4,11
DIY-93,2024-02-18,East,Stationery,Stapler,51,632.92,1623.62,82804.75,523,574,0,3,6.0,3.5,4
DIY-94,2024-09-08,East,Kitchen,Tray,43,34.58,45.21,1944.04,580,623,1,4,6.0,3.0,8
DIY-95,2024-12-19,South,Home Decor,Wall Frame,74,138.06,210.51,15577.7,818,892,1,5,7.0,2.1,10
DIY-96,2025-02-26,South,Cleaning,Bucket,1,510.16,1400.03,1400.03,399,400,1,1,6.0,4.4,5
DIY-97,2025-05-06,North,Hardware,Tape Measure,87,316.97,800.52,69644.9,639,726,1,2,22.0,2.8,11
DIY-98,2023-07-13,East,Kitchen,Bottle,75,893.01,2202.11,165158.1,603,678,1,0,16.0,4.4,9
DIY-99,2024-05-27,South,Cleaning,Mop,73,490.77,649.76,47432.46,399,472,0,5,0.0,4.7,10
DIY-100,2024-04-23,North,Electrical,Bulb,31,431.71,1225.7,37996.75,291,322,0,3,,2.4,0
DIY-101,2022-10-26,West,Hardware,Hammer,81,61.73,124.29,10067.25,233,314,0,4,23.0,3.3,9
DIY-102,2024-09-09,North,Stationery,Marker,70,792.2,1044.41,73108.83,863,933,0,3,15.0,2.9,9
DIY-103,2022-06-07,East,Electrical,Wire,26,717.75,1351.03,35126.7,924,950,1,6,13.0,2.8,9
DIY-104,2023-11-27,North,Kitchen,Storage Box,54,546.98,1531.39,82695.28,101,155,0,2,3.0,3.2,6
DIY-105,2025-01-11,West,Home Decor,Plant Pot,35,166.0,245.39,8588.64,583,618,0,7,7.0,3.7,1
DIY-106,2023-10-08,East,Stationery,Marker,95,110.07,316.01,30020.97,470,565,1,3,4.0,2.1,7
DIY-107,2024-09-01,East,Home Decor,Curtains,22,838.92,888.13,19538.94,672,694,1,3,21.0,3.3,8
DIY-108,2024-11-02,West,Hardware,Drill Bits,18,722.82,2258.47,40652.47,420,438,1,3,7.0,3.6,8
DIY-109,2024-12-27,South,Hardware,Hammer,94,503.17,1656.37,155698.94,414,508,0,7,24.0,3.3,5
DIY-110,2025-11-30,East,Hardware,Hammer,17,148.51,486.36,8268.14,401,418,0,6,1.0,3.1,2
DIY-111,2024-02-02,North,Stationery,Pen Set,78,599.18,808.78,63084.54,713,791,1,3,9.0,4.6,0
DIY-112,2024-10-07,North,Home Decor,Plant Pot,50,961.21,2460.54,123026.9,369,419,1,3,8.0,3.1,1
DIY-113,2024-05-04,West,Cleaning,Brush,10,461.61,1056.15,10561.51,760,770,0,4,13.0,4.1,2
DIY-114,2024-01-30,South,Home Decor,Plant Pot,26,837.67,1310.5,34072.88,574,600,0,2,12.0,2.8,3
DIY-115,2023-09-24,North,Stationery,Notebook,57,416.43,528.96,30150.7,98,155,0,6,3.0,2.9,10
DIY-116,2022-08-18,East,Stationery,Pen Set,93,232.94,753.85,70108.4,157,250,0,2,7.0,2.1,9
DIY-117,2025-04-22,North,Home Decor,Curtains,23,118.9,152.87,3515.93,580,603,1,7,10.0,2.5,5
DIY-118,2024-07-08,East,Home Decor,Plant Pot,74,717.56,1088.17,80524.88,213,287,0,5,8.0,2.0,7
DIY-119,2022-12-29,South,Electrical,Battery,61,902.25,1330.22,81143.51,383,444,1,7,24.0,2.3,3
DIY-120,2025-06-11,South,Cleaning,Bucket,92,130.64,341.31,31400.37,131,223,0,3,11.0,,10
DIY-121,2025-04-02,South,Kitchen,Bottle,14,761.27,1148.69,16081.65,635,649,0,0,12.0,4.6,9
DIY-122,2024-12-27,North,Hardware,Hammer,17,153.73,305.13,5187.22,578,595,1,3,23.0,2.3,2
DIY-123,2024-08-14,North,Stationery,Notebook,91,221.44,425.52,38722.3,622,713,0,2,4.0,4.8,5
DIY-124,2026-03-04,East,Stationery,Marker,5,496.96,1217.3,6086.49,917,922,1,6,16.0,2.8,6
DIY-125,2026-03-13,North,Electrical,Bulb,75,822.39,1798.97,134922.69,890,965,0,2,8.0,4.4,7
DIY-126,2024-03-19,North,Electrical,Battery,73,991.33,1695.25,123752.95,349,422,1,5,18.0,3.9,10
DIY-127,2025-11-13,South,Stationery,Notebook,1,236.05,463.73,463.73,299,300,0,1,16.0,3.3,3
DIY-128,2023-01-10,North,Cleaning,Bucket,76,200.47,586.48,44572.85,80,156,0,3,0.0,3.2,10
DIY-129,2023-07-12,West,Electrical,Bulb,12,373.76,700.13,8401.57,227,239,0,2,4.0,3.2,6
DIY-130,2022-09-04,South,Kitchen,Storage Box,57,434.63,782.2,44585.66,148,205,1,2,24.0,,4
DIY-131,2023-05-28,North,Kitchen,Bottle,23,375.98,784.57,18045.06,921,944,0,4,0.0,2.5,0
DIY-132,2024-11-16,South,Cleaning,Mop,73,338.08,667.3,48713.07,194,267,0,6,22.0,3.5,5
DIY-133,2023-02-27,South,Home Decor,LED Light,60,761.14,1550.77,93046.11,263,323,0,2,6.0,3.9,2
DIY-134,2022-12-24,West,Cleaning,Bucket,18,585.14,1092.84,19671.19,522,540,0,7,19.0,3.5,1
DIY-135,2025-03-06,North,Kitchen,Storage Box,72,598.4,1287.02,92665.41,-9,63,1,2,,4.9,10
DIY-136,2023-11-15,South,Home Decor,Curtains,93,256.28,626.19,58235.8,572,665,0,1,0.0,3.1,9
DIY-137,2023-12-29,South,Kitchen,Bottle,21,27.47,60.65,1273.62,766,787,0,6,13.0,2.2,0
DIY-138,2025-04-05,West,Home Decor,Wall Frame,96,250.02,839.28,80570.9,153,249,0,0,15.0,4.7,0
DIY-139,2023-07-23,North,Cleaning,Bucket,83,220.22,365.34,30323.5,242,325,1,3,3.0,2.9,4
DIY-140,2024-07-15,West,Electrical,Battery,9,791.43,1748.28,15734.49,189,198,0,5,4.0,4.0,2
DIY-141,2023-01-26,West,Cleaning,Brush,31,343.33,908.8,28172.66,828,859,0,2,2.0,4.9,9
DIY-142,2022-06-22,South,Electrical,Battery,89,434.91,920.4,81915.68,826,915,1,6,1.0,2.3,1
DIY-143,2023-08-29,North,Kitchen,Tray,67,952.35,2905.55,194672.04,391,458,0,2,,3.0,8
DIY-144,2024-07-04,East,Hardware,Hammer,24,474.07,876.31,21031.45,64,88,0,0,8.0,3.1,3
DIY-145,2025-05-10,South,Stationery,Notebook,23,290.1,727.95,16742.84,870,893,0,5,22.0,4.3,4
DIY-146,2024-11-30,East,Hardware,Drill Bits,92,480.61,631.21,58071.15,31,123,0,6,14.0,,9
DIY-147,2025-04-29,South,Cleaning,Cleaning Spray,92,670.69,1459.53,134276.93,200,292,1,3,20.0,4.9,5
DIY-148,2026-04-19,North,Kitchen,Tray,48,904.27,2656.16,127495.61,357,405,0,4,10.0,4.1,1
DIY-149,2025-11-02,West,Hardware,Drill Bits,65,839.77,1338.37,86993.87,919,984,0,4,9.0,4.3,8
DIY-150,2023-06-13,North,Hardware,Hammer,53,183.16,433.24,22961.9,63,116,0,2,0.0,4.8,6
DIY-151,2025-08-17,West,Cleaning,Bucket,89,257.12,400.52,35646.32,325,414,0,1,15.0,2.1,9
DIY-152,2023-06-17,South,Kitchen,Knife Set,97,226.5,391.31,37957.38,718,815,0,4,,3.9,8
DIY-153,2023-04-22,South,Home Decor,Wall Frame,64,514.81,820.88,52536.03,314,378,1,6,1.0,3.1,7
DIY-154,2022-08-06,East,Cleaning,Cleaning Spray,10,731.88,2078.8,20787.97,947,957,1,4,14.0,3.7,0
DIY-155,2023-08-18,South,Hardware,Drill Bits,13,973.34,2635.19,34257.48,158,171,1,6,2.0,2.9,10
DIY-156,2024-01-31,North,Home Decor,Wall Frame,92,404.2,606.62,55808.87,115,207,1,6,15.0,3.0,10
DIY-157,2023-12-11,South,Electrical,Extension Board,85,247.3,641.65,54540.33,7,92,0,4,16.0,4.3,5
DIY-158,2024-04-25,South,Kitchen,Storage Box,16,986.95,2598.68,41578.85,726,742,0,0,2.0,4.1,6
DIY-159,2025-06-13,South,Home Decor,LED Light,45,636.52,1240.38,55816.97,537,582,0,6,16.0,3.7,10
DIY-160,2025-12-15,West,Cleaning,Mop,45,404.83,1085.76,48859.34,324,369,0,4,15.0,,2
DIY-161,2024-08-04,West,Stationery,Notebook,13,324.22,635.01,8255.11,77,90,0,7,5.0,3.0,3
DIY-162,2024-11-19,West,Kitchen,Storage Box,61,688.92,1755.2,107067.41,191,252,1,7,5.0,3.9,1
DIY-163,2025-04-08,West,Home Decor,LED Light,59,61.37,151.41,8932.94,897,956,0,0,22.0,4.5,5
DIY-164,2022-06-15,South,Kitchen,Tray,67,68.21,177.94,11921.74,501,568,0,4,16.0,2.8,4
DIY-165,2024-05-12,North,Home Decor,Curtains,96,825.31,2211.12,212267.24,527,623,0,5,0.0,4.4,9
DIY-166,2023-05-11,East,Home Decor,Wall Frame,10,920.29,3205.29,32052.93,246,256,0,4,23.0,3.3,11
DIY-167,2024-06-06,North,Stationery,Notebook,14,255.6,589.49,8252.82,792,806,1,1,15.0,2.8,4
DIY-168,2024-11-27,West,Home Decor,Plant Pot,54,605.66,1918.14,103579.76,727,781,0,0,7.0,3.6,10
DIY-169,2026-04-11,South,Stationery,Notebook,32,43.97,132.89,4252.54,253,285,0,0,14.0,4.1,10
DIY-170,2023-11-25,North,Stationery,Marker,62,142.3,261.66,16223.17,171,233,0,5,,3.9,8
DIY-171,2024-07-29,West,Hardware,Tape Measure,93,456.62,1433.99,133360.81,802,895,0,7,20.0,4.6,1
DIY-172,2024-08-07,North,Stationery,Stapler,51,193.76,481.42,24552.66,719,770,0,0,20.0,2.0,10
DIY-173,2026-04-23,West,Electrical,Battery,28,519.09,652.44,18268.27,801,829,0,6,4.0,3.4,4
DIY-174,2023-09-09,West,Hardware,Screwdriver,18,470.87,727.06,13087.05,737,755,1,4,18.0,3.6,11
DIY-175,2023-01-22,North,Hardware,Tape Measure,78,570.39,1893.54,147696.5,550,628,0,1,3.0,4.8,6
DIY-176,2024-09-30,West,Home Decor,Plant Pot,42,120.26,146.92,6170.54,732,774,1,2,9.0,,3
DIY-177,2025-05-05,South,Stationery,Stapler,18,735.41,1233.77,22207.9,458,476,0,3,12.0,2.8,11
DIY-178,2024-11-25,East,Kitchen,Bottle,38,428.39,1152.13,43781.07,611,649,1,7,0.0,2.0,5
DIY-179,2024-09-14,North,Hardware,Hammer,7,699.39,1301.31,9109.2,369,376,0,1,17.0,4.4,1
DIY-180,2023-09-17,South,Stationery,Marker,48,172.98,432.79,20773.75,601,649,1,4,13.0,3.1,3
DIY-181,2024-04-30,South,Home Decor,Curtains,32,631.91,1687.04,53985.43,369,401,0,7,6.0,4.3,3
DIY-182,2023-09-23,South,Stationery,Stapler,36,917.99,1037.42,37347.19,831,867,1,0,15.0,3.0,7
DIY-183,2023-02-16,South,Stationery,Notebook,27,667.15,845.22,22820.94,321,348,1,1,20.0,2.9,7
DIY-184,2023-10-06,North,Kitchen,Bottle,39,101.49,186.22,7262.72,195,234,1,0,,3.5,4
DIY-185,2024-01-28,North,Electrical,Wire,36,969.11,2241.98,80711.26,144,180,1,6,3.0,3.3,8
DIY-186,2025-05-28,South,Cleaning,Brush,8,999.75,3043.08,24344.65,55,63,1,5,23.0,2.5,1
DIY-187,2022-07-30,North,Stationery,Stapler,73,169.45,266.04,19421.03,699,772,0,4,16.0,4.4,8
DIY-188,2023-07-31,South,Cleaning,Brush,25,537.65,1122.34,28058.44,31,56,0,5,13.0,2.3,0
DIY-189,2024-04-11,West,Hardware,Tape Measure,9,63.62,100.32,902.85,414,423,1,2,23.0,5.0,4
DIY-190,2022-06-04,East,Stationery,Marker,27,920.59,3194.93,86263.11,115,142,0,4,11.0,2.7,7
DIY-191,2023-09-07,East,Home Decor,Plant Pot,59,639.15,1009.23,59544.29,923,982,0,4,12.0,4.5,1
DIY-192,2025-11-18,West,Electrical,Wire,99,409.91,804.53,79648.1,841,940,1,5,20.0,3.4,3
DIY-193,2023-12-14,East,Home Decor,Plant Pot,2,60.67,183.53,367.06,805,807,0,5,22.0,4.7,6
DIY-194,2024-10-02,North,Electrical,Extension Board,49,868.7,2140.63,104890.97,819,868,1,5,24.0,2.5,6
DIY-195,2024-03-02,East,Home Decor,Plant Pot,64,684.93,1402.02,89729.26,403,467,1,2,2.0,2.3,0
DIY-196,2022-07-14,South,Home Decor,LED Light,77,597.25,864.28,66549.33,-12,65,0,1,22.0,3.3,5
DIY-197,2022-05-24,West,Kitchen,Bottle,55,146.54,389.18,21404.93,338,393,0,6,16.0,3.6,7
DIY-198,2025-03-09,East,Kitchen,Knife Set,74,543.57,1408.56,104233.34,523,597,1,7,13.0,4.7,3
DIY-199,2025-12-23,West,Kitchen,Bottle,29,921.9,2441.85,70813.65,863,892,0,3,19.0,4.5,1
DIY-200,2025-02-28,West,Stationery,Marker,41,447.46,1438.65,58984.48,786,827,0,3,20.0,3.5,1
DIY-201,2022-12-06,West,Home Decor,Plant Pot,6,628.12,1983.5,11901.0,831,837,0,7,6.0,4.6,2
DIY-202,2025-05-23,East,Cleaning,Mop,75,960.63,2240.2,168014.82,161,236,0,5,21.0,2.5,11
DIY-203,2024-02-15,North,Stationery,Marker,89,724.72,1887.66,168002.16,580,669,0,0,11.0,4.9,7
DIY-204,2026-03-02,West,Cleaning,Bucket,63,653.76,2248.63,141663.38,442,505,0,7,0.0,2.1,10
DIY-205,2023-07-22,South,Kitchen,Knife Set,37,573.79,995.3,36826.01,396,433,1,5,9.0,4.1,10
DIY-206,2024-10-01,North,Hardware,Tape Measure,40,722.96,2450.92,98036.96,923,963,0,1,4.0,2.8,2
DIY-207,2024-10-24,North,Kitchen,Storage Box,83,64.0,148.51,12326.17,830,913,1,0,21.0,2.0,7
DIY-208,2022-09-30,South,Hardware,Drill Bits,45,216.12,360.66,16229.73,791,836,1,6,9.0,4.2,3
DIY-209,2024-03-06,West,Home Decor,Wall Frame,28,855.33,2753.52,77098.42,303,331,0,2,2.0,2.2,5
DIY-210,2026-04-12,North,Hardware,Screwdriver,30,834.71,1907.34,57220.14,70,100,0,4,10.0,3.1,3
DIY-211,2026-01-17,East,Hardware,Drill Bits,87,791.62,2030.37,176642.15,791,878,1,3,22.0,3.6,8
DIY-212,2025-12-07,North,Stationery,Notebook,75,833.73,1285.63,96421.96,738,813,0,7,,3.5,3
DIY-213,2022-07-02,East,Kitchen,Bottle,37,751.81,1105.69,40910.64,332,369,1,4,23.0,3.5,11
DIY-214,2023-02-09,North,Kitchen,Tray,12,712.97,2215.71,26588.54,944,956,0,5,14.0,3.8,0
DIY-215,2022-11-03,North,Stationery,Pen Set,36,888.21,2024.55,72883.83,152,188,0,0,11.0,2.2,7
DIY-216,2023-10-14,North,Cleaning,Cleaning Spray,32,499.35,1029.56,32945.87,264,296,0,2,5.0,4.4,2
DIY-217,2023-07-31,West,Hardware,Hammer,90,980.32,2464.59,221813.35,28,118,1,7,9.0,3.1,0
DIY-218,2025-04-12,North,Stationery,Notebook,51,210.03,346.53,17673.24,820,871,0,4,15.0,4.0,6
DIY-219,2023-07-16,East,Stationery,Marker,87,270.7,774.58,67388.08,827,914,0,4,9.0,2.0,11
DIY-220,2023-01-17,North,Cleaning,Mop,56,922.47,2483.96,139101.78,718,774,0,3,12.0,3.6,4
DIY-221,2024-10-27,East,Kitchen,Storage Box,30,30.1,101.19,3035.81,417,447,0,2,3.0,5.0,3
DIY-222,2023-08-19,North,Kitchen,Knife Set,40,891.88,2341.69,93667.76,920,960,0,2,22.0,2.1,9
DIY-223,2024-09-16,West,Electrical,Battery,78,193.24,492.72,38432.32,726,804,0,6,23.0,4.1,6
DIY-224,2022-11-04,East,Cleaning,Bucket,83,835.03,1559.97,129477.24,139,222,1,7,8.0,3.8,8
DIY-225,2023-08-17,South,Kitchen,Knife Set,27,379.63,956.24,25818.59,930,957,1,2,4.0,2.3,9
DIY-226,2024-01-31,North,Home Decor,Wall Frame,26,508.4,1142.03,29692.7,482,508,0,6,8.0,4.2,9
DIY-227,2025-05-30,East,Electrical,Battery,13,64.52,168.49,2190.43,548,561,0,5,14.0,4.2,9
DIY-228,2025-07-20,South,Hardware,Screwdriver,58,575.13,1901.36,110278.74,545,603,0,6,6.0,2.3,11
DIY-229,2023-06-27,East,Kitchen,Storage Box,33,813.06,2591.47,85518.52,613,646,0,4,5.0,4.4,2
DIY-230,2023-08-06,West,Electrical,Bulb,53,798.02,948.88,50290.53,400,453,0,6,18.0,2.4,3
DIY-231,2025-09-18,East,Hardware,Tape Measure,37,852.29,1762.55,65214.17,174,211,0,5,14.0,2.2,4
DIY-232,2024-03-18,North,Kitchen,Tray,12,415.82,809.46,9713.52,61,73,1,4,5.0,4.4,3
