bill_id,date,region,category,product_name,size,units_sold,base_price,discount_percent,final_price,revenue,inventory_remaining,customer_gender,season,return_flag
ZUD-23,2024-09-18,Pune,Women,Jeans,M,10,1436.58,20.0,1149.27,11492.67,125,Female,Monsoon,0
ZUD-24,2025-04-25,Pune,Women,Top,XL,24,526.83,15.0,447.81,10747.38,265,Female,Monsoon,0
ZUD-25,2024-11-23,Chennai,Kids,Kids Tshirt,XL,6,990.65,10.0,891.59,5349.51,231,Female,Winter,0
ZUD-26,2025-11-28,Delhi,Women,Kurti,M,27,560.19,0.0,560.19,15125.0,240,Female,Winter,0
ZUD-27,2025-10-24,Delhi,Accessories,Cap,M,27,1418.03,10.0,1276.23,34458.19,107,Female,Monsoon,0
ZUD-28,2026-01-28,Pune,Accessories,Belt,XL,23,1282.0,30.0,897.4,20640.2,96,Female,Monsoon,0
ZUD-29,2026-02-08,Mumbai,Women,Jeans,XL,4,2492.42,30.0,1744.7,6978.78,61,Male,Winter,1
ZUD-30,2025-04-10,Mumbai,Accessories,Socks,M,9,2298.24,20.0,1838.59,16547.31,155,Male,Summer,1
ZUD-31,2025-10-26,Bangalore,Men,Tshirt,S,24,1701.85,15.0,1446.57,34717.75,29,Female,Monsoon,0
ZUD-32,2025-07-14,Chennai,Men,Shirt,S,11,1298.18,10.0,1168.36,12852.01,229,Male,Monsoon,0
ZUD-33,2025-11-17,Chennai,Kids,Kids Dress,L,17,2239.17,10.0,2015.25,34259.29,73,Male,Monsoon,0
ZUD-34,2026-02-19,Bangalore,Kids,Kids Tshirt,XL,10,1531.84,30.0,1072.29,10722.85,261,Female,Monsoon,0
ZUD-35,2025-11-06,Chennai,Accessories,Belt,L,25,654.6,15.0,556.41,13910.17,249,Male,Monsoon,0
ZUD-36,2025-11-30,Bangalore,Kids,Kids Shorts,L,1,1236.75,30.0,865.72,865.72,91,Female,Winter,1
ZUD-37,2026-03-01,Delhi,Men,Tshirt,S,21,516.32,10.0,464.69,9758.46,176,Female,Monsoon,0
ZUD-38,2025-12-25,Pune,Men,Joggers,M,4,976.31,10.0,878.68,3514.71,186,Female,Summer,0
ZUD-39,2024-09-21,Pune,Women,Jeans,S,25,3198.29,0.0,3198.29,79957.35,132,Male,Monsoon,0
ZUD-40,2024-12-07,Delhi,Accessories,Cap,M,17,2032.39,20.0,1625.91,27640.54,89,Female,Winter,0
ZUD-41,2025-05-02,Pune,Men,Tshirt,L,25,2444.22,0.0,2444.22,61105.4,30,Male,Winter,0
ZUD-42,2025-08-26,Pune,Men,Joggers,XL,26,505.3,0.0,505.3,13137.68,196,Female,Summer,1
ZUD-43,2024-07-13,Bangalore,Accessories,Socks,XL,24,2027.43,0.0,2027.43,48658.43,130,Male,Monsoon,0
ZUD-44,2025-06-22,Bangalore,Men,Shirt,L,23,2525.19,30.0,1767.63,40655.59,93,Male,Summer,1
ZUD-45,2026-02-04,Pune,Kids,Kids Dress,XL,1,794.21,0.0,794.21,794.21,131,Female,Summer,1
ZUD-46,2025-08-01,Pune,Men,Jacket,S,15,2920.87,0.0,2920.87,43813.01,30,Female,Monsoon,1
ZUD-47,2026-02-26,Delhi,Kids,Kids Shorts,S,1,2957.39,0.0,2957.39,2957.39,115,Female,Summer,0
ZUD-48,2024-05-24,Bangalore,Men,Joggers,S,1,501.69,10.0,451.52,451.52,83,Female,Summer,0
ZUD-49,2025-07-20,Bangalore,Kids,Kids Tshirt,M,22,1901.7,20.0,1521.36,33469.99,125,Male,Monsoon,0
ZUD-50,2025-07-25,Bangalore,Kids,Kids Dress,L,14,463.61,10.0,417.25,5841.45,279,Male,Summer,0
ZUD-51,2025-01-26,Mumbai,Women,Top,S,12,3427.87,10.0,3085.08,37021.0,23,Female,Summer,0
ZUD-52,2025-04-06,Pune,Women,Top,M,19,1961.56,20.0,1569.25,29815.78,297,Male,Summer,0
ZUD-53,2026-02-03,Chennai,Men,Jeans,M,17,751.38,15.0,638.67,10857.37,144,Male,Summer,0
ZUD-54,2024-09-23,Delhi,Kids,Kids Dress,XL,26,2338.37,30.0,1636.86,42558.33,70,Male,Summer,0
ZUD-55,2025-07-12,Pune,Women,Kurti,S,27,3133.96,20.0,2507.17,67693.56,226,Female,Monsoon,0
ZUD-56,2025-12-27,Chennai,Women,Dress,M,9,616.99,,616.99,5552.87,116,Male,Winter,1
ZUD-57,2025-11-16,Bangalore,Kids,Kids Tshirt,L,11,1258.09,30.0,880.67,9687.32,78,Male,Summer,1
ZUD-58,2024-05-06,Mumbai,Accessories,Belt,M,24,236.23,10.0,212.6,5102.5,93,Male,Winter,0
ZUD-59,2025-01-01,Chennai,Kids,Kids Shorts,S,17,2732.95,0.0,2732.95,46460.2,119,Male,Summer,0
ZUD-60,2024-06-08,Mumbai,Men,Joggers,S,4,1233.0,10.0,1109.7,4438.8,89,Male,Winter,0
ZUD-61,2024-12-07,Chennai,Men,Jeans,M,22,751.4,10.0,676.26,14877.77,258,Male,Monsoon,0
ZUD-62,2025-10-23,Delhi,Accessories,Socks,S,19,2800.32,15.0,2380.27,45225.09,75,Female,Summer,0
ZUD-63,2024-05-22,Delhi,Women,Top,,2,1626.51,0.0,1626.51,3253.02,71,Female,Summer,0
ZUD-64,2026-04-19,Delhi,Accessories,Cap,XL,8,2334.57,0.0,2334.57,18676.59,56,Male,Summer,1
ZUD-65,2024-07-16,Mumbai,Women,Jeans,S,1,335.95,30.0,235.16,235.16,171,Female,Summer,0
ZUD-66,2025-04-26,Bangalore,Women,Top,XL,8,559.81,10.0,503.83,4030.61,212,Male,Summer,0
ZUD-67,2024-07-03,Chennai,Women,Dress,M,2,1555.39,30.0,1088.78,2177.55,218,Female,Winter,0
ZUD-68,2024-07-04,Chennai,Men,Joggers,L,5,1994.23,0.0,1994.23,9971.14,268,Female,Winter,0
ZUD-69,2025-06-07,Bangalore,Women,Top,S,29,2082.36,15.0,1770.01,51330.22,187,Female,Monsoon,0
ZUD-70,2025-12-20,Bangalore,Kids,Kids Shorts,M,26,2653.58,15.0,2255.54,58644.02,197,Male,Monsoon,1
ZUD-71,2025-08-17,Bangalore,Kids,Kids Dress,S,24,2785.93,20.0,2228.74,53489.86,199,Male,Winter,1
ZUD-72,2025-12-04,Chennai,Women,Dress,M,2,809.2,20.0,647.36,1294.73,248,Female,Winter,1
ZUD-73,2026-01-25,Pune,Men,Tshirt,L,3,1153.3,15.0,980.3,2940.91,247,Male,Summer,0
ZUD-74,2026-01-25,Chennai,Kids,Kids Dress,XL,22,500.18,10.0,450.16,9903.56,186,Female,Summer,0
ZUD-75,2026-04-07,Pune,Kids,Kids Shorts,XL,20,1407.85,15.0,1196.68,23933.53,286,Female,Monsoon,0
ZUD-76,2024-06-02,Pune,Women,Dress,S,1,3074.92,10.0,2767.43,2767.43,97,Female,Monsoon,1
ZUD-77,2025-04-20,Delhi,Accessories,Cap,M,27,687.93,30.0,481.55,13001.87,252,Female,Summer,0
ZUD-78,2025-09-26,Chennai,Kids,Kids Tshirt,S,14,568.7,,511.83,7165.57,131,Male,Monsoon,0
ZUD-79,2026-01-10,Mumbai,Kids,Kids Shorts,M,14,1252.72,15.0,1064.81,14907.33,96,Female,Winter,0
ZUD-80,2025-12-30,Pune,Accessories,Belt,M,28,1252.14,0.0,1252.14,35059.9,166,Male,Monsoon,0
ZUD-81,2025-09-12,Bangalore,Kids,Kids Tshirt,,4,2390.03,15.0,2031.52,8126.09,93,Female,Winter,1
ZUD-82,2024-09-09,Mumbai,Men,Joggers,M,7,411.87,20.0,329.5,2306.5,52,Male,Monsoon,0
ZUD-83,2025-07-15,Mumbai,Accessories,Socks,S,6,2685.13,10.0,2416.62,14499.72,148,Male,Summer,0
ZUD-84,2025-04-27,Chennai,Kids,Kids Shorts,M,20,1004.53,0.0,1004.53,20090.66,58,Male,Winter,0
ZUD-85,2025-08-29,Chennai,Women,Jeans,XL,7,282.69,15.0,240.28,1681.98,281,Female,Summer,0
ZUD-86,2025-08-13,Mumbai,Accessories,Cap,M,13,1435.87,10.0,1292.29,16799.72,296,Male,Winter,0
ZUD-87,2024-06-22,Pune,Women,Jeans,S,16,1720.95,20.0,1376.76,22028.17,69,Male,Monsoon,1
ZUD-88,2025-03-08,Mumbai,Men,Shirt,M,3,408.46,15.0,347.19,1041.57,274,Male,Summer,1
ZUD-89,2025-10-29,Chennai,Kids,Kids Tshirt,S,22,838.04,15.0,712.33,15671.26,178,Male,Winter,1
ZUD-90,2024-10-17,Pune,Women,Top,M,21,1475.78,30.0,1033.05,21693.99,114,Male,Winter,0
ZUD-91,2025-04-11,Delhi,Men,Shirt,,3,620.6,0.0,620.6,1861.81,149,Male,Winter,0
ZUD-92,2025-07-25,Delhi,Accessories,Bag,S,19,1350.36,10.0,1215.32,23091.15,29,Female,Summer,0
ZUD-93,2024-11-13,Pune,Accessories,Bag,M,7,2887.48,30.0,2021.24,14148.65,213,Female,Summer,0
ZUD-94,2026-03-07,Chennai,Men,Tshirt,M,19,397.96,10.0,358.17,6805.16,242,Male,Summer,0
ZUD-95,2025-01-26,Bangalore,Men,Jeans,M,3,2804.19,10.0,2523.77,7571.3,88,Male,Summer,0
ZUD-96,2026-03-07,Bangalore,Women,Jeans,M,15,676.5,15.0,575.03,8625.43,90,Female,Winter,0
ZUD-97,2025-08-24,Chennai,Women,Kurti,M,18,1118.29,20.0,894.63,16103.43,183,Female,Monsoon,0
ZUD-98,2025-11-03,Chennai,Men,Jeans,S,21,574.71,10.0,517.24,10862.09,113,Female,Monsoon,0
ZUD-99,2025-06-18,Chennai,Accessories,Bag,M,19,1066.71,20.0,853.37,16214.0,131,Female,Summer,0
ZUD-100,2024-08-09,Pune,Men,Shirt,M,29,2993.33,30.0,2095.33,60764.62,272,Female,Monsoon,1
ZUD-101,2024-06-03,Pune,Accessories,Socks,S,16,1649.96,30.0,1154.97,18479.55,55,Female,Monsoon,0
ZUD-102,2025-06-12,Pune,Kids,Kids Dress,L,5,807.23,0.0,807.23,4036.17,78,Female,Monsoon,0
ZUD-103,2025-07-11,Pune,Men,Tshirt,M,29,245.96,30.0,172.17,4993.03,211,Female,Summer,0
ZUD-104,2024-10-31,Bangalore,Accessories,Cap,L,25,223.35,20.0,178.68,4466.91,259,Female,Winter,1
ZUD-105,2025-06-13,Mumbai,Women,Dress,S,26,2961.51,10.0,2665.36,69299.31,30,Male,Summer,0
ZUD-106,2024-11-25,Pune,Women,Jeans,L,11,2508.01,15.0,2131.81,23449.91,79,Male,Summer,0
ZUD-107,2025-11-09,Chennai,Women,Dress,XL,26,3168.84,0.0,3168.84,82389.87,113,Male,Monsoon,0
ZUD-108,2024-08-02,Pune,Men,Tshirt,XL,19,2303.43,30.0,1612.4,30635.61,74,Male,Monsoon,0
ZUD-109,2026-01-05,Chennai,Kids,Kids Shorts,XL,14,2643.49,15.0,2246.97,31457.54,68,Male,Winter,1
ZUD-110,2025-11-23,Mumbai,Women,Kurti,L,12,3590.87,10.0,3231.78,38781.42,259,Male,Monsoon,1
ZUD-111,2024-11-17,Delhi,Women,Skirt,S,23,799.08,30.0,559.36,12865.18,10,Female,Summer,0
ZUD-112,2024-07-21,Bangalore,Kids,Kids Shorts,XL,20,2924.29,10.0,2631.86,52637.13,158,Female,Monsoon,0
ZUD-113,2025-12-15,Chennai,Kids,Kids Dress,M,23,2496.19,10.0,2246.57,51671.16,130,Female,Monsoon,0
ZUD-114,2024-09-20,Mumbai,Kids,Kids Shorts,L,12,803.23,,642.58,7711.0,222,Female,Winter,1
ZUD-115,2025-08-22,Delhi,Accessories,Belt,,13,2434.33,15.0,2069.18,26899.31,119,Female,Monsoon,0
ZUD-116,2026-04-04,Delhi,Kids,Kids Tshirt,XL,3,365.53,0.0,365.53,1096.59,74,Male,Summer,0
ZUD-117,2025-12-06,Chennai,Women,Dress,XL,4,1731.81,0.0,1731.81,6927.26,197,Female,Winter,0
ZUD-118,2025-06-04,Delhi,Women,Kurti,L,5,1891.96,10.0,1702.77,8513.84,107,Male,Winter,1
ZUD-119,2025-10-22,Bangalore,Accessories,Socks,XL,3,221.0,10.0,198.9,596.71,104,Male,Summer,0
ZUD-120,2024-10-02,Delhi,Kids,Kids Tshirt,L,24,2765.02,20.0,2212.02,53088.41,146,Male,Winter,0
ZUD-121,2026-03-27,Mumbai,Men,Tshirt,M,23,1200.85,30.0,840.6,19333.71,298,Female,Monsoon,1
ZUD-122,2024-05-29,Chennai,Women,Top,L,4,451.43,30.0,316.0,1264.0,226,Male,Summer,1
ZUD-123,2025-07-18,Delhi,Men,Joggers,S,22,1831.66,15.0,1556.91,34251.95,259,Female,Monsoon,0
ZUD-124,2025-02-27,Delhi,Women,Skirt,M,23,1568.93,30.0,1098.25,25259.75,48,Male,Winter,0
ZUD-125,2025-04-27,Bangalore,Kids,Kids Shorts,L,5,1614.95,15.0,1372.71,6863.56,251,Male,Winter,0
ZUD-126,2025-04-03,Mumbai,Men,Shirt,L,1,236.54,30.0,165.58,165.58,287,Female,Monsoon,1
ZUD-127,2024-07-25,Pune,Men,Jacket,L,14,1023.96,20.0,819.16,11468.31,20,Female,Summer,1
ZUD-128,2025-05-10,Chennai,Kids,Kids Shorts,XL,22,332.87,15.0,282.94,6224.62,114,Male,Monsoon,0
ZUD-129,2025-03-31,Bangalore,Kids,Kids Dress,S,17,1317.84,,1054.27,17922.67,50,Male,Winter,0
ZUD-130,2025-10-12,Pune,Men,Jacket,XL,7,1053.67,10.0,948.3,6638.11,164,Female,Winter,1
ZUD-131,2025-08-08,Pune,Kids,Kids Dress,M,7,843.78,20.0,675.02,4725.17,65,Female,Monsoon,0
ZUD-132,2025-06-10,Pune,Women,Top,M,24,2951.54,10.0,2656.39,63753.26,81,Female,Summer,0
ZUD-133,2026-04-26,Bangalore,Accessories,Bag,S,13,1654.16,,1654.16,21504.09,292,Male,Winter,1
ZUD-134,2025-03-21,Mumbai,Men,Shirt,S,22,657.09,15.0,558.53,12287.57,199,Male,Winter,0
ZUD-135,2024-06-10,Delhi,Men,Shirt,XL,27,2978.19,10.0,2680.37,72369.91,31,Female,Monsoon,0
ZUD-136,2025-06-02,Bangalore,Men,Jeans,XL,6,445.72,0.0,445.72,2674.29,106,Male,Summer,1
ZUD-137,2024-06-14,Bangalore,Women,Top,L,18,870.63,30.0,609.44,10969.89,231,Female,Monsoon,0
ZUD-138,2025-02-13,Mumbai,Accessories,Socks,M,22,1373.48,20.0,1098.79,24173.32,199,Female,Winter,0
ZUD-139,2025-03-27,Pune,Men,Shirt,XL,28,2959.69,0.0,2959.69,82871.44,116,Male,Monsoon,0
ZUD-140,2026-03-07,Mumbai,Kids,Kids Tshirt,L,1,2154.37,30.0,1508.06,1508.06,39,Male,Winter,1
ZUD-141,2025-07-14,Mumbai,Kids,Kids Shorts,S,1,2673.71,20.0,2138.97,2138.97,151,Male,Monsoon,0
ZUD-142,2026-03-07,Delhi,Women,Top,L,13,1479.26,20.0,1183.41,15384.29,175,Male,Winter,0
ZUD-143,2026-03-20,Delhi,Kids,Kids Shorts,M,4,906.12,15.0,770.2,3080.8,224,Female,Summer,1
ZUD-144,2024-07-25,Mumbai,Kids,Kids Tshirt,M,16,797.67,10.0,717.9,11486.48,131,Male,Summer,0
ZUD-145,2025-12-12,Mumbai,Kids,Kids Shorts,L,19,1858.37,30.0,1300.86,24716.34,156,Female,Summer,0
ZUD-146,2025-04-20,Bangalore,Kids,Kids Dress,L,27,291.95,10.0,262.75,7094.31,138,Female,Monsoon,1
ZUD-147,2024-09-29,Mumbai,Men,Joggers,XL,17,253.05,20.0,202.44,3441.41,267,Female,Winter,1
ZUD-148,2024-08-16,Chennai,Men,Jacket,XL,16,2351.35,20.0,1881.08,30097.31,180,Male,Winter,1
ZUD-149,2024-10-16,Pune,Women,Skirt,XL,13,496.21,30.0,347.34,4515.47,65,Female,Summer,0
ZUD-150,2026-04-04,Bangalore,Accessories,Bag,S,29,2007.27,30.0,1405.09,40747.51,190,Male,Winter,0
ZUD-151,2024-06-11,Delhi,Women,Top,L,25,2439.15,0.0,2439.15,60978.68,267,Female,Summer,0
ZUD-152,2024-09-02,Chennai,Men,Joggers,L,21,1018.1,10.0,916.29,19242.04,270,Male,Winter,1
ZUD-153,2026-02-26,Chennai,Men,Joggers,M,25,1576.81,30.0,1103.76,27594.12,191,Male,Summer,1
ZUD-154,2026-04-24,Chennai,Accessories,Cap,S,4,1917.59,30.0,1342.32,5369.26,89,Female,Monsoon,1
ZUD-155,2024-12-08,Pune,Accessories,Socks,L,2,2900.69,10.0,2610.62,5221.24,143,Female,Summer,0
ZUD-156,2024-08-27,Chennai,Women,Skirt,L,7,898.26,20.0,718.61,5030.26,258,Female,Summer,1
ZUD-157,2024-06-30,Mumbai,Kids,Kids Tshirt,S,27,2509.56,10.0,2258.61,60982.42,13,Female,Monsoon,0
ZUD-158,2025-09-15,Bangalore,Kids,Kids Tshirt,M,23,2998.75,15.0,2548.94,58625.62,152,Female,Winter,0
ZUD-159,2025-08-18,Bangalore,Women,Skirt,S,7,1447.75,0.0,1447.75,10134.22,241,Female,Monsoon,0
ZUD-160,2025-10-18,Chennai,Women,Skirt,L,27,2398.04,15.0,2038.33,55034.94,256,Female,Monsoon,0
ZUD-161,2025-07-05,Chennai,Kids,Kids Dress,M,10,1572.32,0.0,1572.32,15723.16,151,Female,Winter,1
ZUD-162,2024-11-29,Mumbai,Accessories,Socks,L,21,921.42,15.0,783.21,16447.37,71,Male,Monsoon,0
ZUD-163,2024-07-10,Chennai,Men,Tshirt,L,16,1489.87,10.0,1340.89,21454.19,73,Female,Winter,0
ZUD-164,2025-08-01,Mumbai,Women,Jeans,M,29,1105.52,0.0,1105.52,32060.17,227,Male,Monsoon,0
ZUD-165,2025-04-20,Pune,Men,Jacket,S,17,642.95,10.0,578.65,9837.08,117,Male,Monsoon,0
ZUD-166,2024-06-26,Bangalore,Men,Jacket,L,14,1691.26,0.0,1691.26,23677.63,250,Female,Winter,0
ZUD-167,2025-05-03,Bangalore,Women,Kurti,L,1,2152.98,15.0,1830.04,1830.04,285,Female,Monsoon,0
ZUD-168,2025-07-17,Delhi,Kids,Kids Tshirt,L,12,2778.1,20.0,2222.48,26669.81,192,Female,Winter,1
ZUD-169,2025-10-28,Bangalore,Accessories,Socks,L,4,451.66,0.0,451.66,1806.63,50,Male,Winter,0
ZUD-170,2025-04-23,Chennai,Accessories,Bag,M,23,1149.67,15.0,977.22,22475.96,120,Male,Monsoon,0
ZUD-171,2026-03-12,Mumbai,Women,Skirt,M,8,3427.17,10.0,3084.46,24675.66,280,Female,Winter,0
ZUD-172,2025-11-05,Bangalore,Kids,Kids Dress,M,24,2854.66,15.0,2426.46,58235.0,234,Female,Summer,0
ZUD-173,2025-02-10,Bangalore,Accessories,Socks,XL,11,2048.6,30.0,1434.02,15774.26,107,Male,Monsoon,1
ZUD-174,2025-02-02,Delhi,Kids,Kids Shorts,XL,14,1695.82,20.0,1356.66,18993.2,165,Male,Winter,0
ZUD-175,2025-06-10,Chennai,Men,Jacket,S,20,860.82,15.0,731.7,14633.95,58,Male,Summer,0
ZUD-176,2025-11-14,Pune,Accessories,Socks,XL,27,2063.92,15.0,1754.33,47366.91,23,Female,Summer,0
ZUD-177,2024-08-08,Chennai,Kids,Kids Dress,L,13,811.61,20.0,649.29,8440.74,192,Male,Monsoon,0
ZUD-178,2025-10-06,Delhi,Women,Skirt,M,28,3412.29,15.0,2900.45,81212.6,195,Male,Winter,0
ZUD-179,2025-06-01,Bangalore,Kids,Kids Dress,L,14,1368.88,0.0,1368.88,19164.29,29,Male,Winter,0
ZUD-180,2025-09-23,Delhi,Accessories,Bag,XL,29,2675.37,10.0,2407.83,69827.19,75,Male,Winter,1
ZUD-181,2024-09-20,Delhi,Kids,Kids Shorts,S,8,501.49,,401.19,3209.51,266,Male,Summer,0
ZUD-182,2025-03-21,Chennai,Men,Jeans,XL,9,1155.34,20.0,924.28,8318.48,18,Female,Monsoon,0
ZUD-183,2025-05-01,Delhi,Men,Jeans,L,28,2590.66,10.0,2331.59,65284.55,66,Female,Summer,1
ZUD-184,2026-01-23,Pune,Accessories,Socks,M,10,1471.66,0.0,1471.66,14716.57,42,Male,Summer,0
ZUD-185,2025-01-09,Delhi,Men,Shirt,M,10,2339.79,10.0,2105.81,21058.1,255,Female,Summer,0
ZUD-186,2025-05-15,Pune,Women,Dress,L,8,986.0,30.0,690.2,5521.59,262,Male,Summer,0
ZUD-187,2025-09-27,Mumbai,Women,Jeans,XL,15,2998.13,0.0,2998.13,44972.01,218,Female,Winter,0
ZUD-188,2024-10-07,Delhi,Accessories,Cap,L,29,1885.3,20.0,1508.24,43738.92,165,Female,Summer,1
ZUD-189,2025-09-25,Pune,Women,Top,L,4,1738.49,,1477.72,5910.87,104,Female,Summer,1
ZUD-190,2025-02-25,Bangalore,Men,Jeans,S,11,514.36,15.0,437.2,4809.24,289,Male,Monsoon,1
ZUD-191,2025-05-02,Pune,Men,Tshirt,L,8,1748.69,30.0,1224.08,9792.67,192,Male,Winter,1
ZUD-192,2025-11-23,Chennai,Women,Jeans,XL,7,1468.64,15.0,1248.34,8738.39,49,Female,Winter,1
ZUD-193,2025-06-05,Chennai,Men,Shirt,XL,27,1946.12,20.0,1556.9,42036.27,175,Female,Monsoon,0
ZUD-194,2024-05-28,Bangalore,Men,Jacket,L,12,1441.53,20.0,1153.23,13838.72,293,Female,Summer,0
ZUD-195,2025-02-24,Chennai,Accessories,Socks,L,29,721.57,30.0,505.1,14647.84,38,Male,Monsoon,1
ZUD-196,2025-02-21,Bangalore,Men,Jeans,L,2,1584.22,,1584.22,3168.44,203,Female,Summer,1
ZUD-197,2025-10-13,Mumbai,Women,Dress,S,15,2856.14,30.0,1999.3,29989.51,47,Female,Monsoon,1
ZUD-198,2026-03-21,Bangalore,Women,Skirt,M,18,1176.18,30.0,823.33,14819.9,115,Male,Summer,0
ZUD-199,2025-03-21,Mumbai,Men,Jeans,,9,768.36,0.0,768.36,6915.28,294,Female,Summer,0
ZUD-200,2025-05-29,Delhi,Kids,Kids Dress,XL,29,1507.03,15.0,1280.97,37148.26,255,Male,Summer,1
ZUD-201,2025-09-27,Pune,Women,Skirt,M,21,2026.06,0.0,2026.06,42547.36,255,Female,Monsoon,0
ZUD-202,2026-01-24,Bangalore,Accessories,Belt,L,2,1841.89,0.0,1841.89,3683.77,24,Female,Monsoon,1
ZUD-203,2025-05-15,Pune,Women,Jeans,S,27,1738.15,0.0,1738.15,46930.17,109,Female,Monsoon,0
ZUD-204,2025-04-12,Mumbai,Kids,Kids Tshirt,XL,16,1918.9,30.0,1343.23,21491.71,171,Female,Winter,0
ZUD-205,2024-07-18,Mumbai,Women,Top,,2,525.22,10.0,472.7,945.39,243,Female,Monsoon,0
ZUD-206,2025-01-25,Bangalore,Kids,Kids Dress,XL,6,645.32,20.0,516.25,3097.52,288,Female,Summer,0
ZUD-207,2024-06-11,Mumbai,Accessories,Socks,L,4,1431.59,30.0,1002.12,4008.46,206,Male,Summer,1
ZUD-208,2025-09-11,Bangalore,Men,Shirt,S,7,2449.07,15.0,2081.71,14571.99,193,Male,Monsoon,0
ZUD-209,2024-09-12,Delhi,Accessories,Belt,L,25,2970.73,10.0,2673.65,66841.32,12,Male,Winter,0
ZUD-210,2025-01-19,Chennai,Women,Top,L,18,898.4,10.0,808.56,14554.04,31,Female,Monsoon,0
ZUD-211,2026-02-10,Delhi,Men,Jeans,M,15,1180.76,15.0,1003.64,15054.63,219,Male,Monsoon,1
ZUD-212,2025-11-02,Bangalore,Accessories,Cap,M,22,1903.63,10.0,1713.27,37691.94,11,Male,Winter,0
ZUD-213,2025-06-24,Pune,Accessories,Socks,,12,908.45,15.0,772.18,9266.17,293,Female,Summer,1
ZUD-214,2024-08-11,Pune,Men,Tshirt,M,13,891.95,0.0,891.95,11595.4,184,Female,Winter,0
ZUD-215,2025-07-12,Delhi,Kids,Kids Dress,M,4,1739.66,0.0,1739.66,6958.64,135,Male,Monsoon,0
ZUD-216,2025-09-19,Delhi,Accessories,Bag,XL,21,2615.27,15.0,2222.98,46682.54,159,Female,Monsoon,0
ZUD-217,2024-05-29,Chennai,Kids,Kids Shorts,XL,15,2439.75,10.0,2195.77,32936.58,233,Female,Winter,1
ZUD-218,2025-08-17,Mumbai,Kids,Kids Shorts,M,27,2501.67,0.0,2501.67,67545.2,50,Male,Monsoon,0
ZUD-219,2025-03-05,Mumbai,Kids,Kids Dress,L,17,2205.15,20.0,1764.12,29990.04,217,Male,Winter,1
ZUD-220,2025-10-11,Delhi,Accessories,Socks,S,18,1067.76,20.0,854.21,15375.77,89,Male,Winter,0
ZUD-221,2025-03-17,Mumbai,Kids,Kids Dress,L,26,559.37,20.0,447.5,11634.97,81,Female,Monsoon,0
